ts_code,trade_date,adj_factor
000001.SZ,20210322,111.049
000002.SZ,20210322,153.901
000004.SZ,20210322,4.064
000005.SZ,20210322,9.268
000006.SZ,20210322,36.507
000007.SZ,20210322,8.284
000008.SZ,20210322,22.408
000009.SZ,20210322,8.881
000010.SZ,20210322,10.775
000011.SZ,20210322,3.751
000012.SZ,20210322,26.778
000014.SZ,20210322,5.427
000016.SZ,20210322,21.823
000017.SZ,20210322,2.683
000019.SZ,20210322,4.212
000020.SZ,20210322,1.752
000021.SZ,20210322,14.039
000023.SZ,20210322,2.668
000025.SZ,20210322,2.737
000026.SZ,20210322,7.745
000027.SZ,20210322,16.398
000028.SZ,20210322,3.993
000029.SZ,20210322,2.235
000030.SZ,20210322,3.408
000031.SZ,20210322,14.651
000032.SZ,20210322,4.163
000034.SZ,20210322,3.042
000035.SZ,20210322,4.612
000036.SZ,20210322,11.912
000037.SZ,20210322,5.668
000038.SZ,20210322,2.924
000039.SZ,20210322,30.845
000040.SZ,20210322,4.349
000042.SZ,20210322,13.353
000045.SZ,20210322,2.928
000046.SZ,20210322,34.006
000048.SZ,20210322,6.259
000049.SZ,20210322,5.495
000050.SZ,20210322,8.373
000055.SZ,20210322,9.783
000056.SZ,20210322,4.708
000058.SZ,20210322,3.274
000059.SZ,20210322,1.701
000060.SZ,20210322,37.808
000061.SZ,20210322,21.477
000062.SZ,20210322,7.249
000063.SZ,20210322,15.871
000065.SZ,20210322,15.327
000066.SZ,20210322,10.878
000068.SZ,20210322,2.28
000069.SZ,20210322,42.485
000070.SZ,20210322,3.484
000078.SZ,20210322,20.484
000088.SZ,20210322,8.016
000089.SZ,20210322,7.087
000090.SZ,20210322,7.484
000096.SZ,20210322,2.654
000099.SZ,20210322,3.803
000100.SZ,20210322,3.168
000150.SZ,20210322,3.944
000151.SZ,20210322,2.759
000153.SZ,20210322,5.652
000155.SZ,20210322,1.568
000156.SZ,20210322,1.081
000157.SZ,20210322,72.925
000158.SZ,20210322,2.952
000159.SZ,20210322,3.205
000166.SZ,20210322,1.449
000301.SZ,20210322,2.293
000333.SZ,20210322,4.635
000338.SZ,20210322,19.776
000400.SZ,20210322,7.672
000402.SZ,20210322,37.156
000403.SZ,20210322,7.581
000404.SZ,20210322,3.337
000407.SZ,20210322,10.983
000408.SZ,20210322,5.675
000409.SZ,20210322,2.15
000410.SZ,20210322,2.889
000411.SZ,20210322,2.577
000413.SZ,20210322,4.592
000415.SZ,20210322,20.919
000416.SZ,20210322,9.637
000417.SZ,20210322,17.435
000419.SZ,20210322,14.481
000420.SZ,20210322,6.352
000421.SZ,20210322,6.91
000422.SZ,20210322,14.787
000423.SZ,20210322,10.127
000425.SZ,20210322,38.418
