ts_code,trade_date,open,high,low,close,vol,amount
002869.SZ,20210129,30.34,30.79,28.7,29.03,31001.61,91347.253
002876.SZ,20210129,52.95,53.8,51.0,51.8,24601.05,128628.619
603717.SH,20210129,8.92,8.96,8.77,8.91,31587.4,27959.732
603081.SH,20210129,10.45,10.53,10.13,10.25,12110.0,12421.548
300616.SZ,20210129,80.49,81.88,76.5,77.3,14006.04,109870.278
300613.SZ,20210129,143.64,148.0,125.0,128.6,38495.39,524874.534
300618.SZ,20210129,109.0,112.0,102.0,106.11,115242.02,1227370.245
002872.SZ,20210129,4.19,4.31,4.12,4.24,31094.68,13079.101
603721.SH,20210129,11.61,12.58,11.4,12.01,75521.52,89671.535
300588.SZ,20210129,7.54,7.54,7.17,7.3,35857.0,26160.231
002863.SZ,20210129,5.42,5.48,5.2,5.32,298147.62,158865.071
300590.SZ,20210129,25.94,26.1,24.48,25.03,65684.46,164035.803
603728.SH,20210129,14.23,14.36,13.6,13.84,23993.63,33404.96
002871.SZ,20210129,13.58,13.58,12.88,13.01,11949.8,15671.834
603776.SH,20210129,15.4,15.44,14.4,14.56,25272.19,37301.166
002873.SZ,20210129,15.29,15.3,14.81,14.95,4099.0,6162.35
603496.SH,20210129,15.6,15.75,14.92,15.5,12437.1,19081.627
300675.SZ,20210129,14.73,15.07,14.33,14.52,20358.31,29750.06
300607.SZ,20210129,42.16,43.2,41.46,43.0,64187.58,271216.74
300639.SZ,20210129,39.89,40.28,37.55,37.94,70038.4,270311.988
603225.SH,20210129,18.3,18.49,17.8,18.2,80883.21,146387.156
603679.SH,20210129,20.26,20.5,18.4,18.42,23143.41,43875.843
300602.SZ,20210129,19.03,19.03,17.67,17.77,38735.93,70430.526
603488.SH,20210129,8.07,8.09,7.65,7.71,54620.2,42711.334
300632.SZ,20210129,12.27,12.47,11.78,11.88,30281.19,36272.465
603335.SH,20210129,4.36,4.39,4.24,4.29,31018.5,13366.022
603331.SH,20210129,9.01,9.23,9.01,9.19,10465.76,9584.619
300599.SZ,20210129,13.31,13.53,12.24,12.34,76149.03,97541.51
300591.SZ,20210129,5.77,5.87,5.44,5.53,128020.69,71569.781
603056.SH,20210129,15.03,15.13,14.28,14.82,88461.64,129585.158
300645.SZ,20210129,14.4,14.48,13.82,13.82,14982.9,21070.459
603856.SH,20210129,14.27,14.4,13.83,13.95,93617.1,131620.844
300608.SZ,20210129,11.4,11.45,10.78,10.9,16453.64,18111.617
300605.SZ,20210129,10.85,10.97,10.38,10.54,26031.08,27656.031
300638.SZ,20210129,57.51,58.38,55.71,56.32,29101.03,164564.933
300584.SZ,20210129,18.78,19.04,17.93,18.19,4963.5,9077.796
003025.SZ,20210129,33.78,33.78,31.18,31.7,19874.73,63767.17
603316.SH,20210129,6.01,6.06,5.64,5.66,80638.79,46647.288
002965.SZ,20210129,28.12,28.12,27.43,27.69,7025.0,19458.641
300595.SZ,20210129,113.0,114.36,108.6,110.14,52199.39,580148.496
300610.SZ,20210129,15.45,15.85,15.25,15.32,36614.0,56869.577
300498.SZ,20210129,17.47,17.57,16.89,16.96,331872.35,567768.271
