ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20260109,4725.9571,4771.4276,4719.134,4758.9221,254688038.0,668788811.127
000300.SH,20260108,4761.0105,4765.4863,4717.0091,4737.6536,238804957.0,630655637.962
000300.SH,20260107,4796.9335,4802.6028,4751.0713,4776.6658,259095564.0,664897929.361
000300.SH,20260106,4719.2088,4790.6938,4718.0099,4790.6938,296970686.0,725414566.873
000300.SH,20260105,4661.616,4721.6378,4661.616,4717.7457,234144839.0,630577351.311
000300.SH,20251231,4656.48,4667.0467,4622.0988,4629.9395,170760224.0,444491545.749
000300.SH,20251230,4617.3163,4664.3305,4616.6323,4651.2818,180374974.0,457185489.037
000300.SH,20251229,4658.2654,4672.0352,4629.0567,4639.3721,200397133.0,482613536.467
000300.SH,20251226,4639.7895,4676.131,4635.1052,4657.24,175396565.0,460426934.268
000300.SH,20251225,4629.3195,4651.1535,4621.9208,4642.5357,139434186.0,385356060.832
000300.SH,20251224,4623.6831,4639.4278,4602.1444,4634.0586,153711241.0,406375640.662
000300.SH,20251223,4616.026,4644.5347,4607.7992,4620.7341,169256412.0,433141326.006
000300.SH,20251222,4587.6683,4615.8721,4587.6683,4611.6235,165252856.0,448240599.514
000300.SH,20251219,4561.3729,4591.0931,4546.8465,4568.1781,154876220.0,371577144.281
000300.SH,20251218,4553.9788,4571.9683,4544.1416,4552.7926,151681328.0,382102395.685
000300.SH,20251217,4499.7729,4594.6556,4498.9304,4579.875,178424830.0,452504741.114
000300.SH,20251216,4542.4226,4553.0806,4484.27,4497.5545,165165201.0,390500134.303
000300.SH,20251215,4550.0028,4595.0463,4548.4382,4552.0596,167589967.0,424383389.792
000300.SH,20251212,4558.7375,4583.6753,4530.7841,4580.95,212826520.0,523863221.652
000300.SH,20251211,4597.1901,4610.2787,4547.1372,4552.1848,168419405.0,432431093.51
000300.SH,20251210,4586.254,4598.5366,4549.0798,4591.8273,169111106.0,401452781.498
000300.SH,20251209,4611.379,4628.7049,4584.254,4598.2232,184160344.0,452113884.581
000300.SH,20251208,4593.1399,4640.6256,4592.7414,4621.7545,199620990.0,496716196.112
000300.SH,20251205,4547.9056,4593.8279,4535.0195,4584.5368,196799968.0,412146806.538
000300.SH,20251204,4533.6004,4557.4228,4514.1878,4546.5664,147198110.0,348767399.212
000300.SH,20251203,4554.5894,4569.821,4523.5017,4531.0486,169762790.0,374486168.903
000300.SH,20251202,4571.9098,4575.4945,4539.4312,4554.3347,148493132.0,364366426.478
000300.SH,20251201,4539.1877,4576.9654,4531.2917,4576.4856,200382317.0,463861587.251
000300.SH,20251128,4511.4972,4531.7219,4492.4256,4526.6616,142902096.0,341832317.979
000300.SH,20251127,4520.014,4559.2183,4509.8635,4515.4027,150311772.0,417789843.568
000300.SH,20251126,4490.2021,4538.1361,4485.6984,4517.6255,156200368.0,427361377.738
000300.SH,20251125,4475.8359,4510.7729,4467.3529,4490.4047,169571929.0,411523796.962
000300.SH,20251124,4473.1563,4478.8081,4421.8123,4448.0478,185833729.0,425807469.5
000300.SH,20251121,4513.3858,4527.0436,4453.1819,4453.6076,222851013.0,481295814.463
000300.SH,20251120,4619.5401,4620.6529,4560.1814,4564.9483,194562593.0,415064817.73
000300.SH,20251119,4568.0365,4607.8627,4568.0365,4588.2922,172924974.0,385230481.97
000300.SH,20251118,4584.7896,4606.6167,4552.8038,4568.1928,177713185.0,420150126.547
000300.SH,20251117,4616.8058,4624.8976,4580.2613,4598.0525,188955466.0,438940097.528
000300.SH,20251114,4663.3175,4684.2578,4628.0242,4628.1398,192092676.0,444720433.579
000300.SH,20251113,4643.7862,4703.4897,4643.7862,4702.0738,207367474.0,510060678.21
000300.SH,20251112,4643.5592,4669.6073,4620.9897,4645.9079,209460592.0,492308866.409
000300.SH,20251111,4706.3374,4707.1275,4648.4896,4652.1655,186638858.0,477629076.357
000300.SH,20251110,4688.124,4695.1794,4654.2103,4695.0507,236026764.0,593977127.605
000300.SH,20251107,4673.7616,4701.3743,4666.0405,4678.7944,212497377.0,507573849.5
000300.SH,20251106,4642.0112,4698.0935,4642.0112,4693.4032,224241008.0,553641780.921
000300.SH,20251105,4562.1117,4642.6101,4558.7647,4627.257,203045871.0,468361161.389
000300.SH,20251104,4649.3481,4665.323,4595.066,4618.699,233224032.0,505177700.977
000300.SH,20251103,4636.7323,4653.4028,4595.7339,4653.4028,239869809.0,557602941.096
000300.SH,20251031,4702.4946,4706.1395,4640.6676,4640.6676,281464740.0,680712251.493
000300.SH,20251030,4735.9807,4761.8339,4706.452,4709.911,273289118.0,719956285.438
