ts_code,trade_date,open,high,low,close,vol,amount
000657.SZ,20260108,31.2,31.8,30.69,31.02,802945.76,2502573.151
000657.SZ,20260107,30.0,32.39,29.51,32.0,1137795.7,3533756.005
000657.SZ,20260106,29.0,30.16,28.61,29.72,1086269.12,3210519.067
000657.SZ,20260105,28.26,28.55,27.6,28.5,600666.0,1699668.35
000657.SZ,20251231,28.06,28.57,27.57,27.71,659136.1,1841241.224
000657.SZ,20251230,28.05,28.77,27.82,28.04,780753.3,2208438.461
000657.SZ,20251229,29.5,29.85,28.38,28.46,973085.2,2806870.678
000657.SZ,20251226,28.93,30.15,28.87,29.5,1101129.89,3251986.853
000657.SZ,20251225,28.89,29.35,28.48,28.82,857756.67,2472981.996
000657.SZ,20251224,31.01,31.12,28.81,29.41,1391980.02,4104494.629
000657.SZ,20251223,29.51,32.18,29.15,31.06,1469862.79,4518687.677
000657.SZ,20251222,27.8,30.0,27.56,29.64,1326230.63,3854313.446
000657.SZ,20251219,27.36,28.11,27.01,27.3,743647.17,2043275.75
000657.SZ,20251218,28.12,28.4,27.17,27.21,1155094.38,3203710.192
000657.SZ,20251217,26.17,28.66,25.46,28.51,1683828.69,4630031.527
000657.SZ,20251216,25.5,26.61,25.15,26.05,1038250.29,2690847.43
000657.SZ,20251215,24.81,25.6,24.71,25.21,750719.45,1890448.836
000657.SZ,20251212,24.65,24.9,23.63,24.9,959763.09,2333115.946
000657.SZ,20251211,25.05,25.15,24.21,24.3,673668.7,1656094.142
000657.SZ,20251210,24.58,24.99,23.66,24.72,834862.35,2030510.054
000657.SZ,20251209,23.87,25.28,23.62,24.8,1090580.59,2671116.031
000657.SZ,20251208,23.37,24.22,23.19,24.11,1092205.89,2597565.445
000657.SZ,20251205,22.23,23.49,22.17,23.2,1093408.22,2524845.519
000657.SZ,20251204,22.25,22.68,21.96,22.28,753812.77,1684184.5
000657.SZ,20251203,22.01,22.59,21.97,22.22,590988.11,1317445.929
000657.SZ,20251202,22.05,22.72,21.92,22.15,548724.04,1223207.677
000657.SZ,20251201,22.48,22.65,21.85,22.05,537060.54,1191899.548
000657.SZ,20251128,21.33,22.57,21.2,22.2,587872.34,1288523.35
000657.SZ,20251127,22.08,22.44,21.35,21.4,585349.55,1280470.819
000657.SZ,20251126,22.32,22.5,21.76,22.03,506718.7,1121807.768
000657.SZ,20251125,21.97,22.48,21.7,22.01,561627.42,1242231.441
000657.SZ,20251124,20.99,21.95,20.98,21.66,651389.8,1406641.79
000657.SZ,20251121,22.0,22.32,20.94,20.99,797246.3,1709355.668
000657.SZ,20251120,22.6,23.2,22.4,22.46,683281.28,1554905.565
000657.SZ,20251119,22.87,23.25,21.87,22.26,999019.21,2232525.927
000657.SZ,20251118,22.82,23.88,22.45,23.06,1298641.3,3030258.87
000657.SZ,20251117,22.36,23.34,22.29,22.82,785792.59,1799910.663
000657.SZ,20251114,22.19,23.35,21.66,22.59,1059087.58,2404137.191
000657.SZ,20251113,22.3,23.35,22.18,22.56,1172680.73,2673708.151
000657.SZ,20251112,23.0,23.44,22.36,22.76,1275319.38,2917233.91
000657.SZ,20251111,23.56,23.77,22.14,22.3,1091343.12,2460199.938
000657.SZ,20251110,24.5,24.67,22.87,23.19,1273670.25,2966942.751
000657.SZ,20251107,24.71,25.31,24.4,24.7,1162048.36,2879372.513
000657.SZ,20251106,25.1,25.4,24.4,25.1,1597190.33,3985072.77
000657.SZ,20251105,22.31,25.05,22.26,25.05,1759267.72,4175748.668
000657.SZ,20251104,23.03,23.26,22.61,22.77,1156322.1,2648708.086
000657.SZ,20251103,23.0,23.29,22.15,22.75,1642588.35,3729549.083
000657.SZ,20251031,26.01,26.15,23.41,23.41,1376769.56,3323518.466
000657.SZ,20251030,26.24,26.87,25.31,26.01,2781139.54,7221132.633
000657.SZ,20251029,23.97,24.76,23.95,24.76,725996.44,1780230.124
000657.SZ,20251028,21.48,22.51,21.3,22.51,1463666.34,3232330.066
000657.SZ,20251027,19.6,20.85,19.6,20.46,1554776.11,3177208.15
000657.SZ,20251024,18.85,19.35,18.7,18.95,802076.89,1525803.553
000657.SZ,20251023,18.0,18.74,18.0,18.61,784150.85,1442353.684
000657.SZ,20251022,17.29,18.5,17.04,18.14,830791.83,1489882.751
000657.SZ,20251021,16.85,17.59,16.77,17.52,580305.43,1003134.684
