ts_code,trade_date,up_limit,down_limit
920992.BJ,20260108,23.55,12.69
920985.BJ,20260108,9.54,5.14
920982.BJ,20260108,308.1,165.9
920981.BJ,20260108,44.3,23.86
920978.BJ,20260108,47.33,25.49
920976.BJ,20260108,35.81,19.29
920974.BJ,20260108,10.59,5.71
920971.BJ,20260108,41.35,22.27
920970.BJ,20260108,10.2,5.5
920964.BJ,20260108,8.84,4.76
920961.BJ,20260108,37.59,20.25
920957.BJ,20260108,16.77,9.03
920953.BJ,20260108,46.89,25.25
920950.BJ,20260108,24.08,12.98
920946.BJ,20260108,14.01,7.55
920943.BJ,20260108,34.28,18.46
920942.BJ,20260108,42.0,22.62
920932.BJ,20260108,28.28,15.24
920931.BJ,20260108,18.75,10.11
920926.BJ,20260108,22.95,12.37
920925.BJ,20260108,36.19,19.49
920924.BJ,20260108,28.36,15.28
920914.BJ,20260108,37.4,20.14
920906.BJ,20260108,38.22,20.58
920896.BJ,20260108,27.36,14.74
920895.BJ,20260108,27.56,14.84
920892.BJ,20260108,20.68,11.14
920885.BJ,20260108,32.11,17.29
920879.BJ,20260108,29.22,15.74
920876.BJ,20260108,33.73,18.17
920873.BJ,20260108,10.2,5.5
920871.BJ,20260108,20.26,10.92
920870.BJ,20260108,23.42,12.62
920866.BJ,20260108,10.72,5.78
920857.BJ,20260108,48.46,26.1
920856.BJ,20260108,22.47,12.11
920855.BJ,20260108,23.66,12.74
920839.BJ,20260108,56.83,30.61
920837.BJ,20260108,19.24,10.36
920834.BJ,20260108,20.55,11.07
920833.BJ,20260108,21.71,11.69
920832.BJ,20260108,9.81,5.29
920826.BJ,20260108,18.12,9.76
920821.BJ,20260108,34.99,18.85
920819.BJ,20260108,5.12,2.76
920810.BJ,20260108,16.71,9.01
920809.BJ,20260108,9.42,5.08
920808.BJ,20260108,97.24,52.36
920807.BJ,20260108,20.44,11.02
920806.BJ,20260108,18.56,10.0
920802.BJ,20260108,20.69,11.15
920799.BJ,20260108,62.84,33.84
920792.BJ,20260108,16.01,8.63
920790.BJ,20260108,44.55,23.99
920786.BJ,20260108,13.31,7.17
920781.BJ,20260108,12.16,6.56
920779.BJ,20260108,46.94,25.28
920770.BJ,20260108,23.4,12.6
920768.BJ,20260108,16.22,8.74
920765.BJ,20260108,27.18,14.64
920753.BJ,20260108,29.86,16.08
920751.BJ,20260108,33.39,17.99
