ts_code,trade_date,suspend_type
300096.SZ,20240102,R
000046.SZ,20240102,S
000657.SZ,20240102,S
000801.SZ,20240102,S
002776.SZ,20240102,S
600290.SH,20240102,S
603958.SH,20240102,S
688337.SH,20240102,S
831396.BJ,20240102,S
835438.BJ,20240102,S
837023.BJ,20240102,S
837403.BJ,20240102,S
870656.BJ,20240102,S
872931.BJ,20240102,S
873690.BJ,20240102,S
873706.BJ,20240102,S
873806.BJ,20240102,S
000046.SZ,20240103,S
000657.SZ,20240103,S
000801.SZ,20240103,S
002776.SZ,20240103,S
600290.SH,20240103,S
603958.SH,20240103,S
688337.SH,20240103,S
831396.BJ,20240103,S
835438.BJ,20240103,S
837023.BJ,20240103,S
837403.BJ,20240103,S
870656.BJ,20240103,S
872931.BJ,20240103,S
873690.BJ,20240103,S
873706.BJ,20240103,S
873806.BJ,20240103,S
000046.SZ,20240104,S
000657.SZ,20240104,S
000801.SZ,20240104,S
002776.SZ,20240104,S
600290.SH,20240104,S
603958.SH,20240104,S
688337.SH,20240104,S
831396.BJ,20240104,S
835438.BJ,20240104,S
837023.BJ,20240104,S
837403.BJ,20240104,S
870656.BJ,20240104,S
872931.BJ,20240104,S
873690.BJ,20240104,S
873706.BJ,20240104,S
873806.BJ,20240104,S
873690.BJ,20240105,R
000801.SZ,20240105,R
000046.SZ,20240105,S
000657.SZ,20240105,S
002776.SZ,20240105,S
600290.SH,20240105,S
603958.SH,20240105,S
688337.SH,20240105,S
831396.BJ,20240105,S
835438.BJ,20240105,S
837023.BJ,20240105,S
837403.BJ,20240105,S
870656.BJ,20240105,S
872931.BJ,20240105,S
873706.BJ,20240105,S
873806.BJ,20240105,S
