exchange,cal_date,is_open
SSE,20221231,0
SSE,20221230,1
SSE,20221229,1
SSE,20221228,1
SSE,20221227,1
SSE,20221226,1
SSE,20221225,0
SSE,20221224,0
SSE,20221223,1
SSE,20221222,1
SSE,20221221,1
SSE,20221220,1
SSE,20221219,1
SSE,20221218,0
SSE,20221217,0
SSE,20221216,1
SSE,20221215,1
SSE,20221214,1
SSE,20221213,1
SSE,20221212,1
SSE,20221211,0
SSE,20221210,0
SSE,20221209,1
SSE,20221208,1
SSE,20221207,1
SSE,20221206,1
SSE,20221205,1
SSE,20221204,0
SSE,20221203,0
SSE,20221202,1
SSE,20221201,1
SSE,20221130,1
SSE,20221129,1
SSE,20221128,1
SSE,20221127,0
SSE,20221126,0
SSE,20221125,1
SSE,20221124,1
SSE,20221123,1
SSE,20221122,1
SSE,20221121,1
SSE,20221120,0
SSE,20221119,0
SSE,20221118,1
SSE,20221117,1
SSE,20221116,1
SSE,20221115,1
SSE,20221114,1
SSE,20221113,0
SSE,20221112,0
SSE,20221111,1
SSE,20221110,1
SSE,20221109,1
SSE,20221108,1
SSE,20221107,1
SSE,20221106,0
SSE,20221105,0
SSE,20221104,1
SSE,20221103,1
SSE,20221102,1
SSE,20221101,1
SSE,20221031,1
SSE,20221030,0
SSE,20221029,0
SSE,20221028,1
SSE,20221027,1
SSE,20221026,1
SSE,20221025,1
SSE,20221024,1
SSE,20221023,0
SSE,20221022,0
SSE,20221021,1
SSE,20221020,1
SSE,20221019,1
SSE,20221018,1
SSE,20221017,1
SSE,20221016,0
SSE,20221015,0
SSE,20221014,1
SSE,20221013,1
SSE,20221012,1
SSE,20221011,1
SSE,20221010,1
SSE,20221009,0
SSE,20221008,0
SSE,20221007,0
SSE,20221006,0
SSE,20221005,0
SSE,20221004,0
SSE,20221003,0
SSE,20221002,0
SSE,20221001,0
SSE,20220930,1
SSE,20220929,1
SSE,20220928,1
SSE,20220927,1
SSE,20220926,1
SSE,20220925,0
SSE,20220924,0
SSE,20220923,1
SSE,20220922,1
SSE,20220921,1
SSE,20220920,1
SSE,20220919,1
SSE,20220918,0
SSE,20220917,0
SSE,20220916,1
SSE,20220915,1
SSE,20220914,1
SSE,20220913,1
SSE,20220912,0
SSE,20220911,0
SSE,20220910,0
SSE,20220909,1
SSE,20220908,1
SSE,20220907,1
SSE,20220906,1
SSE,20220905,1
SSE,20220904,0
SSE,20220903,0
SSE,20220902,1
SSE,20220901,1
SSE,20220831,1
SSE,20220830,1
SSE,20220829,1
SSE,20220828,0
SSE,20220827,0
SSE,20220826,1
SSE,20220825,1
SSE,20220824,1
SSE,20220823,1
SSE,20220822,1
SSE,20220821,0
SSE,20220820,0
SSE,20220819,1
SSE,20220818,1
SSE,20220817,1
SSE,20220816,1
SSE,20220815,1
SSE,20220814,0
SSE,20220813,0
SSE,20220812,1
SSE,20220811,1
SSE,20220810,1
SSE,20220809,1
SSE,20220808,1
SSE,20220807,0
SSE,20220806,0
SSE,20220805,1
SSE,20220804,1
SSE,20220803,1
SSE,20220802,1
SSE,20220801,1
SSE,20220731,0
SSE,20220730,0
SSE,20220729,1
SSE,20220728,1
SSE,20220727,1
SSE,20220726,1
SSE,20220725,1
SSE,20220724,0
SSE,20220723,0
SSE,20220722,1
SSE,20220721,1
SSE,20220720,1
SSE,20220719,1
SSE,20220718,1
SSE,20220717,0
SSE,20220716,0
SSE,20220715,1
SSE,20220714,1
SSE,20220713,1
SSE,20220712,1
SSE,20220711,1
SSE,20220710,0
SSE,20220709,0
SSE,20220708,1
SSE,20220707,1
SSE,20220706,1
SSE,20220705,1
SSE,20220704,1
SSE,20220703,0
SSE,20220702,0
SSE,20220701,1
SSE,20220630,1
SSE,20220629,1
SSE,20220628,1
SSE,20220627,1
SSE,20220626,0
SSE,20220625,0
SSE,20220624,1
SSE,20220623,1
SSE,20220622,1
SSE,20220621,1
SSE,20220620,1
SSE,20220619,0
SSE,20220618,0
SSE,20220617,1
SSE,20220616,1
SSE,20220615,1
SSE,20220614,1
SSE,20220613,1
SSE,20220612,0
SSE,20220611,0
SSE,20220610,1
SSE,20220609,1
SSE,20220608,1
SSE,20220607,1
SSE,20220606,1
SSE,20220605,0
SSE,20220604,0
SSE,20220603,0
SSE,20220602,1
SSE,20220601,1
SSE,20220531,1
SSE,20220530,1
SSE,20220529,0
SSE,20220528,0
SSE,20220527,1
SSE,20220526,1
SSE,20220525,1
SSE,20220524,1
SSE,20220523,1
SSE,20220522,0
SSE,20220521,0
SSE,20220520,1
SSE,20220519,1
SSE,20220518,1
SSE,20220517,1
SSE,20220516,1
SSE,20220515,0
SSE,20220514,0
SSE,20220513,1
SSE,20220512,1
SSE,20220511,1
SSE,20220510,1
SSE,20220509,1
SSE,20220508,0
SSE,20220507,0
SSE,20220506,1
SSE,20220505,1
SSE,20220504,0
SSE,20220503,0
SSE,20220502,0
SSE,20220501,0
SSE,20220430,0
SSE,20220429,1
SSE,20220428,1
SSE,20220427,1
SSE,20220426,1
SSE,20220425,1
SSE,20220424,0
SSE,20220423,0
SSE,20220422,1
SSE,20220421,1
SSE,20220420,1
SSE,20220419,1
SSE,20220418,1
SSE,20220417,0
SSE,20220416,0
SSE,20220415,1
SSE,20220414,1
SSE,20220413,1
SSE,20220412,1
SSE,20220411,1
SSE,20220410,0
SSE,20220409,0
SSE,20220408,1
SSE,20220407,1
SSE,20220406,1
SSE,20220405,0
SSE,20220404,0
SSE,20220403,0
SSE,20220402,0
SSE,20220401,1
SSE,20220331,1
SSE,20220330,1
SSE,20220329,1
SSE,20220328,1
SSE,20220327,0
SSE,20220326,0
SSE,20220325,1
SSE,20220324,1
SSE,20220323,1
SSE,20220322,1
SSE,20220321,1
SSE,20220320,0
SSE,20220319,0
SSE,20220318,1
SSE,20220317,1
SSE,20220316,1
SSE,20220315,1
SSE,20220314,1
SSE,20220313,0
SSE,20220312,0
SSE,20220311,1
SSE,20220310,1
SSE,20220309,1
SSE,20220308,1
SSE,20220307,1
SSE,20220306,0
SSE,20220305,0
SSE,20220304,1
SSE,20220303,1
SSE,20220302,1
SSE,20220301,1
SSE,20220228,1
SSE,20220227,0
SSE,20220226,0
SSE,20220225,1
SSE,20220224,1
SSE,20220223,1
SSE,20220222,1
SSE,20220221,1
SSE,20220220,0
SSE,20220219,0
SSE,20220218,1
SSE,20220217,1
SSE,20220216,1
SSE,20220215,1
SSE,20220214,1
SSE,20220213,0
SSE,20220212,0
SSE,20220211,1
SSE,20220210,1
SSE,20220209,1
SSE,20220208,1
SSE,20220207,1
SSE,20220206,0
SSE,20220205,0
SSE,20220204,0
SSE,20220203,0
SSE,20220202,0
SSE,20220201,0
SSE,20220131,0
SSE,20220130,0
SSE,20220129,0
SSE,20220128,1
SSE,20220127,1
SSE,20220126,1
SSE,20220125,1
SSE,20220124,1
SSE,20220123,0
SSE,20220122,0
SSE,20220121,1
SSE,20220120,1
SSE,20220119,1
SSE,20220118,1
SSE,20220117,1
SSE,20220116,0
SSE,20220115,0
SSE,20220114,1
SSE,20220113,1
SSE,20220112,1
SSE,20220111,1
SSE,20220110,1
SSE,20220109,0
SSE,20220108,0
SSE,20220107,1
SSE,20220106,1
SSE,20220105,1
SSE,20220104,1
SSE,20220103,0
SSE,20220102,0
SSE,20220101,0
SSE,20211231,1
SSE,20211230,1
SSE,20211229,1
SSE,20211228,1
SSE,20211227,1
SSE,20211226,0
SSE,20211225,0
SSE,20211224,1
SSE,20211223,1
SSE,20211222,1
SSE,20211221,1
SSE,20211220,1
SSE,20211219,0
SSE,20211218,0
SSE,20211217,1
SSE,20211216,1
SSE,20211215,1
SSE,20211214,1
SSE,20211213,1
SSE,20211212,0
SSE,20211211,0
SSE,20211210,1
SSE,20211209,1
SSE,20211208,1
SSE,20211207,1
SSE,20211206,1
SSE,20211205,0
SSE,20211204,0
SSE,20211203,1
SSE,20211202,1
SSE,20211201,1
SSE,20211130,1
SSE,20211129,1
SSE,20211128,0
SSE,20211127,0
SSE,20211126,1
SSE,20211125,1
SSE,20211124,1
SSE,20211123,1
SSE,20211122,1
SSE,20211121,0
SSE,20211120,0
SSE,20211119,1
SSE,20211118,1
SSE,20211117,1
SSE,20211116,1
SSE,20211115,1
SSE,20211114,0
SSE,20211113,0
SSE,20211112,1
SSE,20211111,1
SSE,20211110,1
SSE,20211109,1
SSE,20211108,1
SSE,20211107,0
SSE,20211106,0
SSE,20211105,1
SSE,20211104,1
SSE,20211103,1
SSE,20211102,1
SSE,20211101,1
SSE,20211031,0
SSE,20211030,0
SSE,20211029,1
SSE,20211028,1
SSE,20211027,1
SSE,20211026,1
SSE,20211025,1
SSE,20211024,0
SSE,20211023,0
SSE,20211022,1
SSE,20211021,1
SSE,20211020,1
SSE,20211019,1
SSE,20211018,1
SSE,20211017,0
SSE,20211016,0
SSE,20211015,1
SSE,20211014,1
SSE,20211013,1
SSE,20211012,1
SSE,20211011,1
SSE,20211010,0
SSE,20211009,0
SSE,20211008,1
SSE,20211007,0
SSE,20211006,0
SSE,20211005,0
SSE,20211004,0
SSE,20211003,0
SSE,20211002,0
SSE,20211001,0
SSE,20210930,1
SSE,20210929,1
SSE,20210928,1
SSE,20210927,1
SSE,20210926,0
SSE,20210925,0
SSE,20210924,1
SSE,20210923,1
SSE,20210922,1
SSE,20210921,0
SSE,20210920,0
SSE,20210919,0
SSE,20210918,0
SSE,20210917,1
SSE,20210916,1
SSE,20210915,1
SSE,20210914,1
SSE,20210913,1
SSE,20210912,0
SSE,20210911,0
SSE,20210910,1
SSE,20210909,1
SSE,20210908,1
SSE,20210907,1
SSE,20210906,1
SSE,20210905,0
SSE,20210904,0
SSE,20210903,1
SSE,20210902,1
SSE,20210901,1
SSE,20210831,1
SSE,20210830,1
SSE,20210829,0
SSE,20210828,0
SSE,20210827,1
SSE,20210826,1
SSE,20210825,1
SSE,20210824,1
SSE,20210823,1
SSE,20210822,0
SSE,20210821,0
SSE,20210820,1
SSE,20210819,1
SSE,20210818,1
SSE,20210817,1
SSE,20210816,1
SSE,20210815,0
SSE,20210814,0
SSE,20210813,1
SSE,20210812,1
SSE,20210811,1
SSE,20210810,1
SSE,20210809,1
SSE,20210808,0
SSE,20210807,0
SSE,20210806,1
SSE,20210805,1
SSE,20210804,1
SSE,20210803,1
SSE,20210802,1
SSE,20210801,0
SSE,20210731,0
SSE,20210730,1
SSE,20210729,1
SSE,20210728,1
SSE,20210727,1
SSE,20210726,1
SSE,20210725,0
SSE,20210724,0
SSE,20210723,1
SSE,20210722,1
SSE,20210721,1
SSE,20210720,1
SSE,20210719,1
SSE,20210718,0
SSE,20210717,0
SSE,20210716,1
SSE,20210715,1
SSE,20210714,1
SSE,20210713,1
SSE,20210712,1
SSE,20210711,0
SSE,20210710,0
SSE,20210709,1
SSE,20210708,1
SSE,20210707,1
SSE,20210706,1
SSE,20210705,1
SSE,20210704,0
SSE,20210703,0
SSE,20210702,1
SSE,20210701,1
SSE,20210630,1
SSE,20210629,1
SSE,20210628,1
SSE,20210627,0
SSE,20210626,0
SSE,20210625,1
SSE,20210624,1
SSE,20210623,1
SSE,20210622,1
SSE,20210621,1
SSE,20210620,0
SSE,20210619,0
SSE,20210618,1
SSE,20210617,1
SSE,20210616,1
SSE,20210615,1
SSE,20210614,0
SSE,20210613,0
SSE,20210612,0
SSE,20210611,1
SSE,20210610,1
SSE,20210609,1
SSE,20210608,1
SSE,20210607,1
SSE,20210606,0
SSE,20210605,0
SSE,20210604,1
SSE,20210603,1
SSE,20210602,1
SSE,20210601,1
SSE,20210531,1
SSE,20210530,0
SSE,20210529,0
SSE,20210528,1
SSE,20210527,1
SSE,20210526,1
SSE,20210525,1
SSE,20210524,1
SSE,20210523,0
SSE,20210522,0
SSE,20210521,1
SSE,20210520,1
SSE,20210519,1
SSE,20210518,1
SSE,20210517,1
