breakout_lookback,trend_ma_days,volume_ratio_min,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,trade_count,win_rate,avg_holding_days,closed_trades,turnover,score
60,60,1.2,-0.04060598985940789,-0.014266261567436822,0.06479253590933096,-0.1890663638359886,-0.17759748967872682,-0.14731134761827958,339,0.47342995169082125,37.2512077294686,207,3.711678053549736,-0.2769882992125652
60,90,1.2,-0.04060598985940789,-0.014266261567436822,0.06479253590933096,-0.1890663638359886,-0.17759748967872682,-0.14731134761827958,339,0.47342995169082125,37.2512077294686,207,3.711678053549736,-0.2769882992125652
60,60,1.5,-0.047439357094040235,-0.01670562689595101,0.05869613153940286,-0.2572728439372961,-0.24749859127313598,-0.14699959468790758,267,0.4625,35.94375,160,3.428295671333502,-0.3474782681772009
60,90,1.5,-0.047439357094040235,-0.01670562689595101,0.05869613153940286,-0.2572728439372961,-0.24749859127313598,-0.14699959468790758,267,0.4625,35.94375,160,3.428295671333502,-0.3474782681772009
90,60,1.2,-0.078945426785901,-0.02810301256613834,0.061297700803697494,-0.4337211169307778,-0.3802787360192374,-0.16917854724892045,257,0.45161290322580644,36.12258064516129,155,3.5728603218956003,-0.5464134031213763
90,90,1.2,-0.078945426785901,-0.02810301256613834,0.061297700803697494,-0.4337211169307778,-0.3802787360192374,-0.16917854724892045,257,0.45161290322580644,36.12258064516129,155,3.5728603218956003,-0.5464134031213763
90,60,1.5,-0.09177152994392179,-0.032815847122001696,0.05171241464953624,-0.6184318566381405,-0.5389550112821332,-0.16183572908502253,185,0.4392523364485981,34.28971962616822,107,3.1530002117064617,-0.7321655683026534
90,90,1.5,-0.09177152994392179,-0.032815847122001696,0.05171241464953624,-0.6184318566381405,-0.5389550112821332,-0.16183572908502253,185,0.4392523364485981,34.28971962616822,107,3.1530002117064617,-0.7321655683026534
120,60,1.5,-0.09351532064200807,-0.033459938007832535,0.050932439784945716,-0.6417567491814573,-0.5344756027485992,-0.16175194031607898,142,0.3974358974358974,30.371794871794872,78,2.8419819726908266,-0.7560926573473293
120,90,1.5,-0.09351532064200807,-0.033459938007832535,0.050932439784945716,-0.6417567491814573,-0.5344756027485992,-0.16175194031607898,142,0.3974358974358974,30.371794871794872,78,2.8419819726908266,-0.7560926573473293
120,60,1.2,-0.10905756888490703,-0.039236750547948396,0.06154612700026717,-0.618632546940981,-0.5166262038116404,-0.19870439498014247,211,0.4146341463414634,32.113821138211385,123,3.5039588671575723,-0.7572214949790006
120,90,1.2,-0.10905756888490703,-0.039236750547948396,0.06154612700026717,-0.618632546940981,-0.5166262038116404,-0.19870439498014247,211,0.4146341463414634,32.113821138211385,123,3.5039588671575723,-0.7572214949790006
