industry,closed_trades,win_rate
IT设备,2,0.0
专用机械,4,0.5
中成药,10,0.5
仓储物流,3,1.0
供气供热,3,0.3333333333333333
元器件,11,0.6363636363636364
其他建材,1,0.0
农用机械,1,1.0
农药化肥,10,0.4
化学制药,3,0.3333333333333333
化工原料,7,0.5714285714285714
化工机械,2,0.0
化纤,7,0.5714285714285714
区域地产,2,1.0
医疗保健,8,0.625
医药商业,2,0.5
半导体,5,0.8
商贸代理,3,0.6666666666666666
塑料,1,0.0
家用电器,6,0.5
小金属,6,0.3333333333333333
工程机械,7,0.2857142857142857
广告包装,3,0.0
建筑工程,2,0.0
新型电力,2,0.5
旅游景点,4,0.75
日用化工,3,1.0
普钢,1,0.0
服饰,5,0.2
机械基件,6,0.8333333333333334
林业,2,1.0
水力发电,3,0.3333333333333333
水务,1,0.0
水泥,1,1.0
水运,2,0.0
汽车整车,6,0.6666666666666666
汽车配件,10,0.3
渔业,1,1.0
火力发电,2,0.0
煤炭开采,1,0.0
特种钢,2,1.0
环境保护,3,0.0
电器仪表,2,0.0
电气设备,11,0.5454545454545454
白酒,2,1.0
石油加工,3,1.0
种植业,1,0.0
红黄酒,2,0.5
纺织,1,0.0
航空,2,0.0
路桥,2,0.0
软件服务,4,0.0
轻工机械,4,0.75
运输设备,2,1.0
通信设备,1,0.0
铅锌,1,0.0
铝,2,0.5
食品,1,0.0
饲料,2,0.0
