industry,closed_trades,win_rate
IT设备,25,0.36
专用机械,60,0.4166666666666667
中成药,77,0.2987012987012987
乳制品,7,0.42857142857142855
互联网,33,0.6666666666666666
仓储物流,13,0.38461538461538464
供气供热,13,0.3076923076923077
保险,6,0.0
元器件,57,0.49122807017543857
全国地产,13,0.23076923076923078
公共交通,2,0.0
公路,2,0.5
其他商业,1,0.0
其他建材,24,0.4166666666666667
农业综合,8,0.75
农用机械,1,1.0
农药化肥,38,0.42105263157894735
出版业,12,0.25
化学制药,54,0.42592592592592593
化工原料,67,0.417910447761194
化工机械,1,0.0
化纤,17,0.4117647058823529
区域地产,23,0.391304347826087
医疗保健,46,0.34782608695652173
医药商业,14,0.35714285714285715
半导体,27,0.5555555555555556
商品城,3,0.6666666666666666
商贸代理,14,0.5
啤酒,3,0.3333333333333333
园区开发,6,0.5
塑料,28,0.42857142857142855
多元金融,16,0.4375
家居用品,18,0.5
家用电器,48,0.3541666666666667
小金属,46,0.4782608695652174
工程机械,23,0.34782608695652173
广告包装,15,0.06666666666666667
建筑工程,34,0.38235294117647056
影视音像,17,0.5294117647058824
房产服务,1,1.0
批发业,1,0.0
摩托车,6,0.5
文教休闲,11,0.5454545454545454
新型电力,4,0.5
旅游景点,6,0.0
旅游服务,9,0.4444444444444444
日用化工,2,0.0
普钢,21,0.2857142857142857
服饰,22,0.2727272727272727
机场,2,0.5
机床制造,6,0.5
机械基件,27,0.3333333333333333
林业,3,0.6666666666666666
染料涂料,10,0.3
橡胶,1,0.0
水力发电,8,0.5
水务,4,0.25
水泥,23,0.391304347826087
水运,6,0.3333333333333333
汽车整车,30,0.43333333333333335
汽车服务,3,0.3333333333333333
汽车配件,72,0.3611111111111111
港口,6,0.3333333333333333
火力发电,13,0.46153846153846156
焦炭加工,6,0.0
煤炭开采,15,0.4666666666666667
特种钢,10,0.8
环境保护,21,0.23809523809523808
玻璃,26,0.5769230769230769
生物制药,16,0.375
电信运营,3,0.3333333333333333
电器仪表,24,0.5
电器连锁,1,0.0
电气设备,74,0.4864864864864865
白酒,9,0.2222222222222222
百货,19,0.3684210526315789
石油加工,9,0.8888888888888888
石油开采,9,0.3333333333333333
石油贸易,1,0.0
矿物制品,7,0.7142857142857143
种植业,16,0.625
空运,6,0.3333333333333333
红黄酒,4,0.0
纺织,8,0.125
纺织机械,1,0.0
综合类,8,0.375
航空,21,0.47619047619047616
船舶,7,0.2857142857142857
装修装饰,8,0.625
证券,24,0.20833333333333334
超市连锁,9,0.6666666666666666
路桥,12,0.3333333333333333
软件服务,75,0.5066666666666667
软饮料,2,0.5
轻工机械,2,0.0
运输设备,26,0.6153846153846154
通信设备,32,0.375
造纸,10,0.5
钢加工,8,0.125
铅锌,18,0.5555555555555556
铜,9,0.6666666666666666
铝,21,0.6190476190476191
银行,16,0.4375
陶瓷,2,0.5
食品,30,0.6666666666666666
饲料,7,0.0
黄金,4,0.5
