industry,closed_trades,win_rate
IT设备,17,0.35294117647058826
专用机械,63,0.47619047619047616
中成药,75,0.36
乳制品,7,0.42857142857142855
互联网,30,0.6
仓储物流,15,0.4666666666666667
供气供热,12,0.08333333333333333
保险,5,0.0
元器件,94,0.5
全国地产,11,0.18181818181818182
公路,2,0.5
其他建材,26,0.5
农业综合,12,0.5
农用机械,2,0.5
农药化肥,48,0.3541666666666667
出版业,11,0.36363636363636365
化学制药,66,0.45454545454545453
化工原料,81,0.5061728395061729
化工机械,4,0.5
化纤,16,0.5625
区域地产,16,0.5
医疗保健,52,0.4807692307692308
医药商业,17,0.5294117647058824
半导体,19,0.5789473684210527
商品城,2,0.0
商贸代理,13,0.5384615384615384
啤酒,6,0.5
园区开发,1,0.0
塑料,23,0.43478260869565216
多元金融,12,0.3333333333333333
家居用品,12,0.16666666666666666
家用电器,57,0.2982456140350877
小金属,41,0.3902439024390244
工程机械,35,0.42857142857142855
广告包装,10,0.1
建筑工程,36,0.3055555555555556
影视音像,14,0.6428571428571429
房产服务,4,1.0
批发业,1,0.0
摩托车,9,0.8888888888888888
文教休闲,16,0.5
新型电力,6,0.5
旅游景点,15,0.4
旅游服务,1,0.0
日用化工,3,0.0
普钢,30,0.5
服饰,20,0.2
机场,5,0.2
机床制造,8,0.375
机械基件,34,0.47058823529411764
林业,2,1.0
染料涂料,6,0.5
水力发电,21,0.5714285714285714
水务,2,0.0
水泥,27,0.4074074074074074
水运,16,0.4375
汽车整车,24,0.4166666666666667
汽车服务,4,0.25
汽车配件,67,0.373134328358209
渔业,3,0.3333333333333333
港口,2,0.0
火力发电,12,0.25
焦炭加工,3,0.0
煤炭开采,22,0.5454545454545454
特种钢,16,0.75
环境保护,39,0.2564102564102564
玻璃,19,0.7368421052631579
生物制药,20,0.15
电信运营,1,0.0
电器仪表,26,0.4230769230769231
电器连锁,2,0.0
电气设备,113,0.504424778761062
白酒,18,0.5
百货,20,0.5
石油加工,7,0.8571428571428571
石油开采,13,0.6153846153846154
石油贸易,1,0.0
矿物制品,9,0.2222222222222222
种植业,18,0.5
空运,6,0.6666666666666666
红黄酒,5,0.2
纺织,10,0.1
纺织机械,2,0.0
综合类,9,0.4444444444444444
航空,24,0.375
船舶,2,0.0
装修装饰,5,0.6
证券,13,0.3076923076923077
超市连锁,10,0.6
路桥,17,0.4117647058823529
软件服务,89,0.42696629213483145
软饮料,3,0.3333333333333333
轻工机械,8,0.375
运输设备,22,0.5909090909090909
通信设备,41,0.4878048780487805
造纸,23,0.4782608695652174
酒店餐饮,4,0.25
钢加工,10,0.4
铁路,6,0.8333333333333334
铅锌,14,0.14285714285714285
铜,20,0.5
铝,16,0.5625
银行,23,0.2608695652173913
陶瓷,3,0.6666666666666666
食品,28,0.42857142857142855
饲料,7,0.0
黄金,7,0.5714285714285714
