industry,closed_trades,win_rate
IT设备,199,0.5326633165829145
unknown,16,0.5
专用机械,669,0.5097159940209267
中成药,166,0.463855421686747
乳制品,71,0.4225352112676056
互联网,454,0.5022026431718062
仓储物流,168,0.47023809523809523
供气供热,109,0.47706422018348627
保险,2,1.0
元器件,579,0.5008635578583766
全国地产,90,0.36666666666666664
公共交通,3,0.0
公路,5,0.8
其他商业,72,0.3888888888888889
其他建材,115,0.4956521739130435
农业综合,217,0.4700460829493088
农用机械,58,0.3793103448275862
农药化肥,255,0.45098039215686275
出版业,47,0.40425531914893614
化学制药,337,0.5548961424332344
化工原料,606,0.46534653465346537
化工机械,85,0.3411764705882353
化纤,92,0.4891304347826087
区域地产,208,0.39903846153846156
医疗保健,241,0.4730290456431535
医药商业,61,0.32786885245901637
半导体,256,0.546875
商品城,17,0.35294117647058826
商贸代理,42,0.40476190476190477
啤酒,12,0.5
园区开发,53,0.3584905660377358
塑料,135,0.48148148148148145
多元金融,75,0.5466666666666666
家居用品,73,0.4657534246575342
家用电器,237,0.459915611814346
小金属,239,0.5732217573221757
工程机械,101,0.4752475247524752
广告包装,157,0.4394904458598726
建筑工程,198,0.36363636363636365
影视音像,163,0.49079754601226994
房产服务,39,0.41025641025641024
摩托车,44,0.4090909090909091
文教休闲,178,0.37640449438202245
新型电力,111,0.5135135135135135
旅游景点,59,0.4067796610169492
旅游服务,77,0.44155844155844154
日用化工,33,0.3939393939393939
普钢,76,0.47368421052631576
服饰,183,0.4371584699453552
机场,26,0.5769230769230769
机床制造,80,0.75
机械基件,163,0.5214723926380368
林业,22,0.6363636363636364
染料涂料,30,0.5666666666666667
橡胶,26,0.38461538461538464
水力发电,24,0.625
水务,10,0.6
水泥,109,0.45871559633027525
水运,61,0.5737704918032787
汽车整车,114,0.35964912280701755
汽车服务,9,0.5555555555555556
汽车配件,580,0.5172413793103449
渔业,35,0.6
港口,29,0.3103448275862069
火力发电,115,0.5130434782608696
焦炭加工,62,0.5
煤炭开采,102,0.4215686274509804
特种钢,45,0.6222222222222222
环境保护,296,0.5304054054054054
玻璃,48,0.5833333333333334
生物制药,100,0.62
电器仪表,186,0.4838709677419355
电气设备,851,0.5017626321974148
白酒,81,0.5308641975308642
百货,95,0.4842105263157895
石油加工,45,0.4222222222222222
石油开采,75,0.5066666666666667
石油贸易,18,0.5555555555555556
矿物制品,80,0.5375
种植业,108,0.6481481481481481
空运,4,0.25
红黄酒,72,0.3333333333333333
纺织,95,0.42105263157894735
纺织机械,61,0.3442622950819672
综合类,84,0.5476190476190477
航空,113,0.504424778761062
船舶,44,0.4318181818181818
装修装饰,36,0.6111111111111112
证券,105,0.49523809523809526
超市连锁,39,0.6410256410256411
路桥,28,0.5714285714285714
软件服务,795,0.4729559748427673
软饮料,12,0.6666666666666666
轻工机械,25,0.32
运输设备,47,0.5106382978723404
通信设备,469,0.511727078891258
造纸,85,0.5058823529411764
酒店餐饮,35,0.45714285714285713
钢加工,84,0.40476190476190477
铅锌,64,0.359375
铜,31,0.41935483870967744
铝,127,0.5118110236220472
陶瓷,20,0.15
食品,221,0.5067873303167421
饲料,90,0.5777777777777777
黄金,72,0.5
