year,total_return,max_drawdown
2016,0.007126747550934898,-0.020539138922568312
2017,-0.31813493845379914,-0.3301020327905161
2018,-0.1674738812887292,-0.18288255446015678
2019,-0.22340681264962836,-0.22527026565006647
2020,-0.06530601349603515,-0.11864533035393754
2021,-0.11044633891434985,-0.13957613573728034
2022,0.0015033935840127466,-0.0005163678520451187
2023,-0.05140781365704583,-0.06909144175475812
2024,-0.1610624536246762,-0.1618710213053267
2025,-0.08412177938237408,-0.13644926804118152
