industry,closed_trades,win_rate
IT设备,195,0.5333333333333333
unknown,18,0.3888888888888889
专用机械,674,0.5014836795252225
中成药,162,0.46296296296296297
乳制品,71,0.43661971830985913
互联网,458,0.49344978165938863
仓储物流,159,0.44654088050314467
供气供热,107,0.4392523364485981
保险,2,1.0
元器件,563,0.4937833037300178
全国地产,88,0.36363636363636365
公共交通,3,0.0
公路,5,0.8
其他商业,72,0.3888888888888889
其他建材,113,0.49557522123893805
农业综合,224,0.44642857142857145
农用机械,60,0.4166666666666667
农药化肥,248,0.4637096774193548
出版业,43,0.3488372093023256
化学制药,323,0.5479876160990712
化工原料,609,0.458128078817734
化工机械,84,0.34523809523809523
化纤,90,0.4666666666666667
区域地产,203,0.37438423645320196
医疗保健,238,0.47478991596638653
医药商业,63,0.31746031746031744
半导体,255,0.5490196078431373
商品城,18,0.3888888888888889
商贸代理,41,0.4146341463414634
啤酒,9,0.3333333333333333
园区开发,55,0.38181818181818183
塑料,137,0.48175182481751827
多元金融,73,0.5342465753424658
家居用品,74,0.4594594594594595
家用电器,233,0.4334763948497854
小金属,235,0.574468085106383
工程机械,116,0.46551724137931033
广告包装,158,0.4430379746835443
建筑工程,197,0.34517766497461927
影视音像,159,0.4716981132075472
房产服务,40,0.4
摩托车,43,0.4186046511627907
文教休闲,173,0.3699421965317919
新型电力,112,0.5178571428571429
旅游景点,59,0.4067796610169492
旅游服务,76,0.47368421052631576
日用化工,27,0.37037037037037035
普钢,76,0.4605263157894737
服饰,181,0.430939226519337
机场,26,0.6153846153846154
机床制造,85,0.7176470588235294
机械基件,167,0.5269461077844312
林业,21,0.6190476190476191
染料涂料,31,0.5806451612903226
橡胶,20,0.35
水力发电,19,0.6842105263157895
水务,10,0.6
水泥,105,0.42857142857142855
水运,60,0.5666666666666667
汽车整车,115,0.3739130434782609
汽车服务,9,0.5555555555555556
汽车配件,580,0.5293103448275862
渔业,33,0.6060606060606061
港口,30,0.3
火力发电,118,0.4745762711864407
焦炭加工,58,0.5
煤炭开采,97,0.4329896907216495
特种钢,48,0.5625
环境保护,291,0.5360824742268041
玻璃,47,0.6170212765957447
生物制药,99,0.6363636363636364
电器仪表,182,0.47802197802197804
电气设备,855,0.49239766081871345
白酒,82,0.5
百货,98,0.47959183673469385
石油加工,45,0.37777777777777777
石油开采,79,0.5189873417721519
石油贸易,18,0.5555555555555556
矿物制品,79,0.5443037974683544
种植业,104,0.6346153846153846
空运,4,0.25
红黄酒,73,0.3424657534246575
纺织,94,0.425531914893617
纺织机械,57,0.3508771929824561
综合类,84,0.5476190476190477
航空,117,0.5128205128205128
船舶,47,0.46808510638297873
装修装饰,36,0.6111111111111112
证券,108,0.5370370370370371
超市连锁,41,0.6585365853658537
路桥,28,0.6071428571428571
软件服务,781,0.47759282970550576
软饮料,7,0.5714285714285714
轻工机械,24,0.2916666666666667
运输设备,47,0.5106382978723404
通信设备,472,0.5127118644067796
造纸,83,0.5180722891566265
酒店餐饮,34,0.4117647058823529
钢加工,93,0.3763440860215054
铅锌,68,0.38235294117647056
铜,30,0.4
铝,126,0.5
陶瓷,20,0.15
食品,231,0.48917748917748916
饲料,96,0.5833333333333334
黄金,72,0.5
