year,total_return,max_drawdown
2016,0.007126747550935342,-0.02053913892256809
2017,-0.31989386520901375,-0.3317648987575449
2018,-0.16567315037413521,-0.18244471289654696
2019,-0.22975736801620372,-0.23160935313087772
2020,-0.06461398811373631,-0.11985825085769475
2021,-0.11074533111606677,-0.14102419101093888
2022,0.0015143862843634004,-0.0005201434947834649
2023,-0.05723539047738613,-0.07173855039915056
2024,-0.1609293245707225,-0.1617889455741096
2025,-0.08509329227046114,-0.13621454306321235
