date,equity,cash,n_pos
20160104,1000000.0,1000000.0,0
20160105,1000000.0,1000000.0,0
20160106,1000000.0,1000000.0,0
20160107,1000000.0,1000000.0,0
20160108,1000000.0,1000000.0,0
20160111,1000000.0,1000000.0,0
20160112,1000000.0,1000000.0,0
20160113,1000000.0,1000000.0,0
20160114,1000000.0,1000000.0,0
20160115,1000000.0,1000000.0,0
20160118,1000000.0,1000000.0,0
20160119,1000000.0,1000000.0,0
20160120,1000000.0,1000000.0,0
20160121,1000000.0,1000000.0,0
20160122,1000000.0,1000000.0,0
20160125,1000000.0,1000000.0,0
20160126,1000000.0,1000000.0,0
20160127,1000000.0,1000000.0,0
20160128,1000000.0,1000000.0,0
20160129,1000000.0,1000000.0,0
20160201,1000000.0,1000000.0,0
20160202,1018327.0049999999,421277.0049999999,30
20160203,1009132.3436100001,978625.3436100001,4
20160204,1009347.2271851377,933127.2271851377,4
20160205,1009680.4547678081,989180.4547678081,1
20160215,1009680.4547678081,989180.4547678081,1
20160216,1009680.4547678081,989180.4547678081,1
20160217,1009680.4547678081,989180.4547678081,1
20160218,1009680.4547678081,989180.4547678081,1
20160219,1009680.4547678081,989180.4547678081,1
20160222,1011730.4547678081,989180.4547678081,1
20160223,1013925.879567808,1013925.879567808,0
20160224,1013925.879567808,1013925.879567808,0
20160225,1013925.879567808,1013925.879567808,0
20160226,1013925.879567808,1013925.879567808,0
20160229,1013912.4775556278,965507.4775556278,1
20160301,1024837.8822036278,457082.8822036278,31
20160302,1020831.9084676282,1010083.9084676282,2
20160303,1020750.5231656282,1020750.5231656282,0
20160304,1020750.5231656282,1020750.5231656282,0
20160307,1038189.0954233038,424345.0954233038,14
20160308,1035427.4314605624,846423.4314605624,16
20160309,1031737.6253561034,1031737.6253561034,0
20160310,1031174.4464807394,980018.4464807394,1
20160311,1031542.2824145601,779741.2824145601,5
20160314,1040117.6661926605,932067.6661926605,2
20160315,1040144.424121189,1040144.424121189,0
20160316,1040740.1180291515,987440.1180291515,1
20160317,1042547.1943734136,995803.1943734136,1
20160318,1042702.4144072136,1042702.4144072136,0
20160321,1042702.4144072136,1042702.4144072136,0
20160322,1042702.4144072136,1042702.4144072136,0
20160323,1042702.4144072136,1042702.4144072136,0
20160324,1042702.4144072136,1042702.4144072136,0
20160325,1042702.4144072136,1042702.4144072136,0
20160328,1042702.4144072136,1042702.4144072136,0
20160329,1042702.4144072136,1042702.4144072136,0
20160330,1042702.4144072136,1042702.4144072136,0
20160331,1042702.4144072136,1042702.4144072136,0
20160401,1042702.4144072136,1042702.4144072136,0
20160405,1042702.4144072136,1042702.4144072136,0
20160406,1042702.4144072136,1042702.4144072136,0
20160407,1042702.4144072136,1042702.4144072136,0
20160408,1042702.4144072136,1042702.4144072136,0
20160411,1042702.4144072136,1042702.4144072136,0
20160412,1042702.4144072136,1042702.4144072136,0
20160413,1042702.4144072136,1042702.4144072136,0
20160414,1042702.4144072136,1042702.4144072136,0
20160415,1042702.4144072136,1042702.4144072136,0
20160418,1042702.4144072136,1042702.4144072136,0
20160419,1042702.4144072136,1042702.4144072136,0
20160420,1042702.4144072136,1042702.4144072136,0
20160421,1035322.4320408816,592291.5130159438,9
20160422,1053266.6658296534,265787.6964115697,33
20160425,1049251.585084042,641738.1884336153,34
20160426,1061838.0939176194,375045.9243270338,44
20160427,1061446.241316785,860567.3325327281,45
20160428,1061874.8933121976,1000972.0271614383,4
20160429,1060627.307390022,1007218.2344170492,1
20160503,1063001.4533494718,1012295.4533494718,1
20160504,1063125.774667983,1012757.774667983,1
20160505,1062513.3485270834,1012419.3485270834,1
20160506,1058388.8427699395,957466.8427699395,2
20160509,1047752.8789694903,797884.8789694903,5
20160510,1041136.497165149,417458.78757128224,31
20160511,1032191.8954216127,238840.74247620994,49
20160512,1027787.0964712683,152008.17706530844,66
20160513,1025762.4182245958,63875.488600999255,85
20160516,1050078.7168805073,1629.2144114387902,108
20160517,1052867.7287358926,532975.8824144736,106
20160518,1044574.9832830632,918662.9832830632,4
20160519,1042340.6883524328,431334.8841398696,27
20160520,1045061.7842694753,600860.4870452367,30
20160523,1047836.9709792697,919051.9709792697,3
20160524,1047157.6585491238,1024834.6585491238,1
20160525,1044114.9791006014,818960.3175327238,5
