ts_code,side,qty,price,exec_date,fee,status,reason
002266.SZ,BUY,3700,5.305299999999999,20160202,5.0,filled,rebalance
300215.SZ,BUY,2000,9.769759999999998,20160202,5.0,filled,rebalance
600782.SH,BUY,4800,4.174169999999999,20160202,5.0,filled,rebalance
002653.SZ,BUY,1300,14.564549999999999,20160202,5.0,filled,rebalance
002442.SZ,BUY,1800,10.990979999999999,20160202,5.0,filled,rebalance
600486.SH,BUY,1000,19.419399999999996,20160202,5.0,filled,rebalance
002739.SZ,BUY,200,72.7727,20160202,5.0,filled,rebalance
600507.SH,BUY,4800,4.15415,20160202,5.0,filled,rebalance
600733.SH,BUY,800,23.093069999999997,20160202,5.0,filled,rebalance
600023.SH,BUY,3900,5.105099999999999,20160202,5.0,filled,rebalance
600967.SH,BUY,2000,9.96996,20160202,5.0,filled,rebalance
600425.SH,BUY,5100,3.9239199999999994,20160202,5.0,filled,rebalance
600307.SH,BUY,8000,2.49249,20160202,5.0,filled,rebalance
600256.SH,BUY,4800,4.13413,20160202,5.0,filled,rebalance
600151.SH,BUY,2300,8.6086,20160202,5.0,filled,rebalance
000563.SZ,BUY,1900,10.300289999999999,20160202,5.0,filled,rebalance
000722.SZ,BUY,1600,12.312299999999999,20160202,5.0,filled,rebalance
603006.SH,BUY,500,37.4374,20160202,5.0,filled,rebalance
603993.SH,BUY,6400,3.1031,20160202,5.0,filled,rebalance
601515.SH,BUY,1900,10.40039,20160202,5.0,filled,rebalance
002498.SZ,BUY,4500,4.434429999999999,20160202,5.0,filled,rebalance
000629.SZ,BUY,7700,2.5325299999999995,20160202,5.0,filled,rebalance
300427.SZ,BUY,300,52.242189999999994,20160202,5.0,filled,rebalance
002663.SZ,BUY,3700,5.355349999999999,20160202,5.0,filled,rebalance
000862.SZ,BUY,3300,5.885879999999999,20160202,5.0,filled,rebalance
600456.SH,BUY,1400,13.853839999999998,20160202,5.0,filled,rebalance
601777.SH,BUY,2400,8.288279999999999,20160202,5.0,filled,rebalance
