industry,closed_trades,win_rate
IT设备,55,0.41818181818181815
unknown,12,0.3333333333333333
专用机械,189,0.455026455026455
中成药,67,0.4925373134328358
乳制品,22,0.36363636363636365
互联网,107,0.5607476635514018
仓储物流,64,0.375
供气供热,44,0.3181818181818182
元器件,202,0.5198019801980198
全国地产,23,0.30434782608695654
公共交通,2,1.0
公路,2,1.0
其他商业,22,0.09090909090909091
其他建材,20,0.7
农业综合,63,0.38095238095238093
农用机械,8,0.5
农药化肥,84,0.5476190476190477
出版业,10,0.4
化学制药,108,0.5740740740740741
化工原料,119,0.6974789915966386
化工机械,28,0.14285714285714285
化纤,30,0.6
区域地产,34,0.4117647058823529
医疗保健,94,0.44680851063829785
医药商业,27,0.37037037037037035
半导体,67,0.5522388059701493
商品城,3,1.0
商贸代理,3,1.0
啤酒,6,0.0
园区开发,11,0.5454545454545454
塑料,45,0.37777777777777777
多元金融,25,0.6
家居用品,26,0.5
家用电器,91,0.4835164835164835
小金属,52,0.4807692307692308
工程机械,22,0.5909090909090909
广告包装,46,0.4782608695652174
建筑工程,50,0.42
影视音像,36,0.6111111111111112
房产服务,16,0.25
摩托车,14,0.21428571428571427
文教休闲,54,0.2962962962962963
新型电力,37,0.43243243243243246
旅游景点,25,0.48
旅游服务,20,0.35
普钢,11,0.5454545454545454
服饰,67,0.5373134328358209
机场,4,0.0
机床制造,27,0.5925925925925926
机械基件,41,0.5609756097560976
林业,5,0.8
染料涂料,7,0.42857142857142855
橡胶,4,0.75
水力发电,10,0.6
水务,1,0.0
水泥,36,0.5833333333333334
水运,13,0.7692307692307693
汽车整车,25,0.48
汽车配件,160,0.5125
渔业,18,0.5555555555555556
港口,2,1.0
火力发电,43,0.46511627906976744
焦炭加工,21,0.7619047619047619
煤炭开采,44,0.29545454545454547
特种钢,12,0.75
环境保护,122,0.36885245901639346
玻璃,12,0.8333333333333334
生物制药,22,0.5909090909090909
电器仪表,59,0.4576271186440678
电气设备,239,0.4393305439330544
白酒,20,0.6
百货,19,0.2631578947368421
石油加工,8,0.75
石油开采,38,0.5
石油贸易,4,0.75
矿物制品,19,0.5789473684210527
种植业,23,0.34782608695652173
红黄酒,23,0.34782608695652173
纺织,25,0.36
纺织机械,25,0.28
综合类,39,0.48717948717948717
航空,26,0.46153846153846156
船舶,15,0.3333333333333333
装修装饰,24,0.5416666666666666
证券,22,0.6363636363636364
超市连锁,7,0.8571428571428571
路桥,7,0.8571428571428571
软件服务,220,0.5
轻工机械,11,0.5454545454545454
运输设备,9,0.5555555555555556
通信设备,146,0.5205479452054794
造纸,17,0.5882352941176471
酒店餐饮,6,0.8333333333333334
钢加工,28,0.42857142857142855
铅锌,13,0.3076923076923077
铝,38,0.42105263157894735
陶瓷,10,0.8
食品,33,0.3939393939393939
饲料,19,0.5789473684210527
黄金,27,0.18518518518518517
