month,closed_trades,win_rate
2016-12,87,0.8275862068965517
2017-01,33,0.48484848484848486
2017-02,3,0.3333333333333333
2017-03,6,0.8333333333333334
2017-04,291,0.33676975945017185
2017-05,357,0.48739495798319327
2017-06,61,0.5737704918032787
2017-07,67,0.6119402985074627
2017-08,14,0.7142857142857143
2017-09,17,0.11764705882352941
2017-10,21,0.2857142857142857
2017-11,155,0.4967741935483871
2017-12,67,0.6417910447761194
2018-01,24,0.3333333333333333
2018-02,306,0.35947712418300654
2018-03,18,0.5
2018-04,2,0.5
2019-04,10,0.4
2019-05,523,0.5334608030592735
2019-06,130,0.5692307692307692
2019-07,21,0.5238095238095238
2019-08,25,0.44
2019-09,7,1.0
2019-10,23,0.21739130434782608
2019-11,21,0.6190476190476191
2019-12,10,0.2
2020-02,4,0.25
2020-03,2,1.0
2020-05,72,0.4722222222222222
2020-06,14,0.5714285714285714
2020-07,17,0.29411764705882354
2020-08,8,0.625
2020-09,98,0.5204081632653061
2020-10,36,0.5
2020-11,30,0.4666666666666667
2020-12,140,0.5
2021-01,304,0.5427631578947368
2021-02,405,0.3802469135802469
2021-03,80,0.6
2021-04,16,0.1875
2021-05,61,0.4918032786885246
2021-06,13,0.46153846153846156
2021-07,7,0.0
2023-03,1,1.0
2023-04,5,0.4
2023-05,36,0.3888888888888889
2023-08,3,0.6666666666666666
2024-05,43,0.2558139534883721
2024-06,116,0.5086206896551724
2024-07,2,0.0
2024-10,1,1.0
2024-11,3,1.0
2024-12,20,0.45
2025-01,126,0.5079365079365079
2025-02,1,1.0
2025-03,13,0.6153846153846154
2025-04,8,0.75
2025-05,3,0.6666666666666666
2025-06,1,1.0
2025-07,2,1.0
2025-08,2,0.5
2025-09,10,0.6
2025-10,8,1.0
2025-11,1,1.0
