industry,closed_trades,win_rate
IT设备,99,0.6161616161616161
unknown,9,0.7777777777777778
专用机械,253,0.5059288537549407
中成药,99,0.43434343434343436
乳制品,27,0.4074074074074074
互联网,183,0.4262295081967213
仓储物流,70,0.34285714285714286
供气供热,44,0.4772727272727273
保险,9,0.6666666666666666
元器件,238,0.4579831932773109
全国地产,34,0.4117647058823529
其他商业,29,0.41379310344827586
其他建材,46,0.45652173913043476
农业综合,93,0.26881720430107525
农用机械,18,0.3333333333333333
农药化肥,89,0.48314606741573035
出版业,22,0.4090909090909091
化学制药,192,0.484375
化工原料,237,0.37130801687763715
化工机械,38,0.42105263157894735
化纤,31,0.45161290322580644
区域地产,65,0.36923076923076925
医疗保健,138,0.47101449275362317
医药商业,24,0.4583333333333333
半导体,105,0.45714285714285713
商品城,3,0.0
商贸代理,20,0.45
啤酒,2,0.5
园区开发,18,0.2222222222222222
塑料,81,0.345679012345679
多元金融,39,0.48717948717948717
家居用品,35,0.5428571428571428
家用电器,120,0.4083333333333333
小金属,128,0.4296875
工程机械,38,0.42105263157894735
广告包装,80,0.4125
建筑工程,78,0.41025641025641024
影视音像,83,0.43373493975903615
房产服务,19,0.21052631578947367
批发业,1,1.0
摩托车,13,0.46153846153846156
文教休闲,75,0.56
新型电力,31,0.4838709677419355
旅游景点,43,0.6046511627906976
旅游服务,42,0.5
日用化工,8,0.625
普钢,39,0.5128205128205128
服饰,63,0.4126984126984127
机场,9,0.7777777777777778
机床制造,27,0.4444444444444444
机械基件,62,0.4838709677419355
林业,7,0.42857142857142855
染料涂料,6,0.8333333333333334
橡胶,4,0.0
水力发电,15,0.4
水务,4,1.0
水泥,63,0.49206349206349204
水运,28,0.42857142857142855
汽车整车,28,0.2857142857142857
汽车服务,3,0.3333333333333333
汽车配件,225,0.3688888888888889
渔业,17,0.4117647058823529
港口,8,0.875
火力发电,28,0.75
焦炭加工,24,0.25
煤炭开采,59,0.5254237288135594
特种钢,13,0.23076923076923078
环境保护,100,0.49
玻璃,18,0.6666666666666666
生物制药,54,0.46296296296296297
电器仪表,57,0.49122807017543857
电气设备,364,0.4835164835164835
白酒,47,0.574468085106383
百货,69,0.391304347826087
石油加工,26,0.38461538461538464
石油开采,32,0.59375
石油贸易,11,0.5454545454545454
矿物制品,30,0.3333333333333333
种植业,38,0.4473684210526316
红黄酒,21,0.2857142857142857
纺织,29,0.27586206896551724
纺织机械,15,0.2
综合类,25,0.52
航空,73,0.4657534246575342
船舶,14,0.6428571428571429
装修装饰,9,0.6666666666666666
证券,69,0.5072463768115942
超市连锁,18,0.6111111111111112
路桥,12,0.5
软件服务,324,0.5030864197530864
软饮料,2,1.0
轻工机械,7,0.5714285714285714
运输设备,12,0.3333333333333333
通信设备,190,0.5263157894736842
造纸,18,0.5
酒店餐饮,24,0.4583333333333333
钢加工,34,0.5294117647058824
铅锌,31,0.3225806451612903
铜,7,0.42857142857142855
铝,60,0.4166666666666667
银行,8,0.75
陶瓷,12,0.3333333333333333
食品,119,0.5714285714285714
饲料,36,0.5833333333333334
黄金,42,0.4523809523809524
