signal_date,allow_new,candidate_count,selected_count,top_names
20160104,False,0,0,
20160111,False,0,0,
20160118,False,0,0,
20160125,False,0,0,
20160201,False,0,0,
20160215,False,0,0,
20160222,False,0,0,
20160229,False,0,0,
20160307,False,0,0,
20160314,False,0,0,
20160321,False,0,0,
20160328,False,0,0,
20160405,False,0,0,
20160411,False,0,0,
20160418,False,0,0,
20160425,False,0,0,
20160503,False,0,0,
20160509,False,0,0,
20160516,False,0,0,
20160523,False,0,0,
20160530,False,0,0,
20160606,False,0,0,
20160613,False,0,0,
20160620,False,0,0,
20160627,False,0,0,
20160704,False,0,0,
20160711,False,0,0,
20160718,False,0,0,
20160725,False,0,0,
20160801,False,0,0,
20160808,False,0,0,
20160815,False,0,0,
20160822,False,0,0,
20160829,False,0,0,
20160905,False,0,0,
20160912,False,0,0,
20160919,False,0,0,
20160926,False,0,0,
20161010,False,0,0,
20161017,False,0,0,
20161024,False,0,0,
20161031,True,9,9,002760.SZ;300215.SZ;600758.SH;600491.SH;002517.SZ;002127.SZ;002663.SZ;000977.SZ;002355.SZ
20161107,True,3,3,600248.SH;300017.SZ;002036.SZ
20161114,True,0,0,
20161121,True,1,1,600758.SH
20161128,True,5,5,002722.SZ;600678.SH;002299.SZ;002234.SZ;002265.SZ
20161205,True,67,20,002703.SZ;600149.SH;600623.SH;002678.SZ;002265.SZ;600076.SH;000601.SZ;002524.SZ;002355.SZ;601225.SH;300337.SZ;000755.SZ;002371.SZ;600363.SH;002374.SZ;002352.SZ;000707.SZ;002632.SZ;000011.SZ;002755.SZ
20161212,True,723,20,600233.SH;002562.SZ;300398.SZ;002194.SZ;300428.SZ;300465.SZ;300331.SZ;300300.SZ;300292.SZ;600623.SH;300488.SZ;300368.SZ;300418.SZ;002703.SZ;002645.SZ;002766.SZ;000953.SZ;600714.SH;300310.SZ;300299.SZ
20161219,True,27,20,002730.SZ;600758.SH;000969.SZ;300364.SZ;600259.SH;600773.SH;000002.SZ;600419.SH;002692.SZ;002068.SZ;002426.SZ;600549.SH;300209.SZ;300215.SZ;002596.SZ;600338.SH;300224.SZ;002350.SZ;600007.SH;601198.SH
20161226,True,20,20,300219.SZ;000937.SZ;600613.SH;600773.SH;600592.SH;601699.SH;000983.SZ;002721.SZ;600663.SH;000571.SZ;002140.SZ;600546.SH;002364.SZ;600531.SH;002716.SZ;002739.SZ;600971.SH;000723.SZ;000819.SZ;000839.SZ
20170103,True,16,16,000607.SZ;300242.SZ;603166.SH;300383.SZ;002746.SZ;002722.SZ;600310.SH;600071.SH;002446.SZ;300414.SZ;300363.SZ;300228.SZ;600499.SH;300078.SZ;601016.SH;000629.SZ
20170109,True,12,12,300047.SZ;000935.SZ;002640.SZ;002722.SZ;300232.SZ;600590.SH;002299.SZ;300166.SZ;002458.SZ;300380.SZ;300403.SZ;300012.SZ
20170116,True,248,20,300234.SZ;002052.SZ;002486.SZ;300465.SZ;000576.SZ;000659.SZ;600797.SH;300047.SZ;000536.SZ;600084.SH;300191.SZ;300153.SZ;002389.SZ;002408.SZ;300374.SZ;600392.SH;002719.SZ;002722.SZ;002695.SZ;300482.SZ
20170123,True,10,10,002347.SZ;300371.SZ;000066.SZ;300207.SZ;000750.SZ;600983.SH;300410.SZ;002125.SZ;000932.SZ;000922.SZ
20170203,True,15,15,300100.SZ;300098.SZ;601106.SH;601519.SH;600860.SH;600722.SH;601116.SH;002490.SZ;000410.SZ;600191.SH;002125.SZ;300410.SZ;000014.SZ;300369.SZ;600540.SH
20170206,True,6,6,300100.SZ;601106.SH;002691.SZ;601519.SH;000410.SZ;000014.SZ
20170213,True,0,0,
