year,total_return,max_drawdown
2016,-0.020401462508577772,-0.05870474423133154
2017,-0.25402696020936955,-0.2730680216751775
2018,-0.12705379376258907,-0.1486741965451146
2019,-0.14539676100472154,-0.20985438122540934
2020,-0.1372307287213015,-0.18841368657060276
2021,-0.11902750042019905,-0.13608302034304554
2022,-0.00010544322577998866,-0.00010544322577998866
2023,-0.014391052518353264,-0.07509465776168023
2024,-0.13989619882161952,-0.18393929031867617
2025,0.08005364243252377,-0.1672868387916362
