industry,closed_trades,win_rate
IT设备,27,0.2962962962962963
专用机械,56,0.44642857142857145
中成药,65,0.4153846153846154
乳制品,6,0.16666666666666666
互联网,48,0.5833333333333334
仓储物流,12,0.16666666666666666
供气供热,11,0.18181818181818182
保险,5,0.0
元器件,94,0.44680851063829785
全国地产,14,0.2857142857142857
公共交通,6,0.8333333333333334
公路,2,0.5
其他商业,1,0.0
其他建材,24,0.375
农业综合,18,0.6111111111111112
农用机械,2,0.5
农药化肥,43,0.4186046511627907
出版业,8,0.25
化学制药,63,0.42857142857142855
化工原料,85,0.4823529411764706
化工机械,3,0.3333333333333333
化纤,14,0.5
区域地产,21,0.42857142857142855
医疗保健,54,0.4444444444444444
医药商业,17,0.7058823529411765
半导体,22,0.5454545454545454
商品城,3,0.6666666666666666
商贸代理,11,0.36363636363636365
啤酒,9,0.6666666666666666
园区开发,5,0.6
塑料,22,0.36363636363636365
多元金融,14,0.5
家居用品,13,0.38461538461538464
家用电器,57,0.22807017543859648
小金属,55,0.38181818181818183
工程机械,34,0.4411764705882353
广告包装,13,0.23076923076923078
建筑工程,32,0.3125
影视音像,12,0.5
房产服务,2,0.5
批发业,1,1.0
摩托车,7,0.7142857142857143
文教休闲,17,0.47058823529411764
新型电力,5,0.4
旅游景点,13,0.3076923076923077
旅游服务,5,0.6
日用化工,3,0.3333333333333333
普钢,31,0.3870967741935484
服饰,25,0.28
机场,4,0.5
机床制造,7,0.42857142857142855
机械基件,35,0.4
林业,2,1.0
染料涂料,9,0.5555555555555556
水力发电,24,0.6666666666666666
水务,4,0.0
水泥,26,0.4230769230769231
水运,14,0.6428571428571429
汽车整车,33,0.6666666666666666
汽车服务,4,0.25
汽车配件,78,0.3974358974358974
渔业,3,0.3333333333333333
港口,3,0.6666666666666666
火力发电,17,0.35294117647058826
焦炭加工,4,0.25
煤炭开采,26,0.5769230769230769
特种钢,12,0.75
环境保护,35,0.2857142857142857
玻璃,17,0.6470588235294118
生物制药,22,0.3181818181818182
电信运营,3,0.3333333333333333
电器仪表,28,0.42857142857142855
电器连锁,2,0.0
电气设备,109,0.45871559633027525
白酒,17,0.29411764705882354
百货,11,0.09090909090909091
石油加工,9,0.6666666666666666
石油开采,11,0.6363636363636364
石油贸易,1,0.0
矿物制品,4,0.25
种植业,10,0.4
空运,9,0.4444444444444444
红黄酒,6,0.3333333333333333
纺织,11,0.45454545454545453
纺织机械,1,0.0
综合类,10,0.2
航空,28,0.35714285714285715
船舶,4,0.25
装修装饰,4,0.25
证券,28,0.39285714285714285
超市连锁,12,0.6666666666666666
路桥,11,0.36363636363636365
软件服务,87,0.39080459770114945
软饮料,1,0.0
轻工机械,7,0.14285714285714285
运输设备,20,0.75
通信设备,31,0.41935483870967744
造纸,21,0.5238095238095238
酒店餐饮,1,0.0
钢加工,12,0.5
铅锌,13,0.15384615384615385
铜,15,0.4666666666666667
铝,19,0.6842105263157895
银行,25,0.64
陶瓷,3,0.6666666666666666
食品,33,0.42424242424242425
饲料,7,0.14285714285714285
黄金,5,0.4
