industry,closed_trades,win_rate
IT设备,26,0.34615384615384615
专用机械,58,0.3793103448275862
中成药,78,0.2948717948717949
乳制品,7,0.42857142857142855
互联网,33,0.6666666666666666
仓储物流,13,0.38461538461538464
供气供热,13,0.3076923076923077
保险,8,0.0
元器件,54,0.48148148148148145
全国地产,13,0.23076923076923078
公共交通,2,0.0
公路,2,0.5
其他商业,2,0.0
其他建材,24,0.3333333333333333
农业综合,11,0.8181818181818182
农用机械,2,0.5
农药化肥,42,0.4523809523809524
出版业,12,0.25
化学制药,57,0.43859649122807015
化工原料,69,0.4057971014492754
化工机械,1,0.0
化纤,17,0.4117647058823529
区域地产,22,0.3181818181818182
医疗保健,47,0.2978723404255319
医药商业,15,0.4
半导体,34,0.5294117647058824
商品城,3,0.6666666666666666
商贸代理,15,0.4
啤酒,3,0.3333333333333333
园区开发,6,0.5
塑料,32,0.40625
多元金融,17,0.4117647058823529
家居用品,18,0.4444444444444444
家用电器,49,0.3469387755102041
小金属,52,0.4807692307692308
工程机械,22,0.2727272727272727
广告包装,15,0.06666666666666667
建筑工程,35,0.37142857142857144
影视音像,18,0.4444444444444444
房产服务,1,0.0
批发业,1,0.0
摩托车,7,0.42857142857142855
文教休闲,12,0.5
新型电力,4,0.5
旅游景点,6,0.0
旅游服务,9,0.4444444444444444
日用化工,2,0.0
普钢,21,0.2857142857142857
服饰,27,0.25925925925925924
机场,4,0.25
机床制造,6,0.5
机械基件,29,0.3103448275862069
林业,3,0.6666666666666666
染料涂料,12,0.25
橡胶,1,0.0
水力发电,8,0.5
水务,5,0.2
水泥,26,0.34615384615384615
水运,7,0.2857142857142857
汽车整车,30,0.43333333333333335
汽车服务,3,0.3333333333333333
汽车配件,72,0.3611111111111111
港口,6,0.3333333333333333
火力发电,14,0.42857142857142855
焦炭加工,6,0.0
煤炭开采,17,0.4117647058823529
特种钢,12,0.6666666666666666
环境保护,22,0.18181818181818182
玻璃,26,0.5769230769230769
生物制药,16,0.3125
电信运营,3,0.3333333333333333
电器仪表,24,0.5
电器连锁,1,0.0
电气设备,77,0.44155844155844154
白酒,9,0.2222222222222222
百货,19,0.3684210526315789
石油加工,9,0.8888888888888888
石油开采,9,0.3333333333333333
石油贸易,1,0.0
矿物制品,7,0.7142857142857143
种植业,16,0.625
空运,7,0.42857142857142855
红黄酒,4,0.0
纺织,10,0.1
纺织机械,3,0.3333333333333333
综合类,8,0.25
航空,21,0.42857142857142855
船舶,7,0.2857142857142857
装修装饰,10,0.5
证券,24,0.20833333333333334
超市连锁,9,0.5555555555555556
路桥,13,0.23076923076923078
软件服务,78,0.48717948717948717
软饮料,2,0.5
轻工机械,2,0.0
运输设备,26,0.6153846153846154
通信设备,33,0.36363636363636365
造纸,10,0.5
钢加工,8,0.125
铅锌,18,0.5555555555555556
铜,11,0.5454545454545454
铝,24,0.5833333333333334
银行,16,0.4375
陶瓷,2,0.5
食品,32,0.59375
饲料,7,0.0
黄金,4,0.25
