ts_code,side,qty,price,exec_date,fee,status,reason
600592.SH,BUY,1400,13.241052817123071,20161102,5.561242183191689,filled,rebalance
002623.SZ,BUY,400,50.099116781158,20161102,6.01189401373896,filled,rebalance
600379.SH,BUY,800,22.20218,20161102,5.328523199999999,filled,rebalance
600313.SH,BUY,1200,16.12996556962025,20161102,5.80678760506329,filled,rebalance
002313.SZ,BUY,700,25.67565,20161102,5.391886499999999,filled,rebalance
601996.SH,BUY,2100,9.3468375,20161102,5.888507625,filled,rebalance
600226.SH,BUY,1700,11.52151,20161102,5.8759701,filled,rebalance
600858.SH,BUY,2100,9.270323008849555,20161102,5.84030349557522,filled,rebalance
000789.SZ,BUY,2700,7.378653810408921,20161102,5.976709586431226,filled,rebalance
002732.SZ,BUY,500,40.63088910358565,20161102,6.094633365537848,filled,rebalance
603030.SH,BUY,500,33.6005,20161102,5.040075,filled,rebalance
300405.SZ,BUY,300,54.5545,20161102,4.909904999999999,filled,rebalance
300158.SZ,BUY,900,20.223975997116767,20161102,5.460473519221528,filled,rebalance
300406.SZ,BUY,300,50.330578954703824,20161102,4.529752105923345,filled,rebalance
603010.SH,BUY,300,60.9511794217348,20161102,5.485606147956132,filled,rebalance
000899.SZ,BUY,2000,9.956970070422534,20161102,5.974182042253521,filled,rebalance
600346.SH,BUY,0,0.0,20161102,0.0,rejected,no_data
002731.SZ,BUY,600,30.622,20161102,5.511959999999999,filled,rebalance
600300.SH,BUY,2700,7.174629831013915,20161102,5.811450163121271,filled,rebalance
300421.SZ,BUY,500,39.037007960199,20161102,5.85555119402985,filled,rebalance
601515.SH,BUY,1400,13.809508705296516,20161102,5.799993656224537,filled,rebalance
600051.SH,BUY,1500,12.443829424342104,20161102,5.599723240953948,filled,rebalance
600056.SH,BUY,900,21.27532573289902,20161102,5.744337947882735,filled,rebalance
300204.SZ,BUY,700,27.965291892940265,20161102,5.872711297517456,filled,rebalance
002393.SZ,BUY,400,46.74976188235294,20161102,5.609971425882353,filled,rebalance
002715.SZ,BUY,500,35.9359,20161102,5.390384999999999,filled,rebalance
000915.SZ,BUY,300,52.565120202531645,20161102,4.730860818227848,filled,rebalance
002476.SZ,BUY,1500,13.05315585648148,20161102,5.8739201354166655,filled,rebalance
002524.SZ,BUY,1900,10.44043,20161102,5.9510451,filled,rebalance
603328.SH,BUY,600,32.36857878727634,20161102,5.826344181709741,filled,rebalance
600056.SH,SELL,900,19.382529199627736,20161115,92.4546642822243,filled,"exit:ma_stop,atr_trailing"
