industry,closed_trades,win_rate
IT设备,43,0.3488372093023256
专用机械,80,0.3875
中成药,102,0.27450980392156865
乳制品,9,0.3333333333333333
互联网,50,0.5
仓储物流,17,0.29411764705882354
供气供热,28,0.39285714285714285
保险,12,0.5
元器件,91,0.45054945054945056
全国地产,17,0.17647058823529413
公共交通,2,0.0
公路,3,0.6666666666666666
其他商业,4,0.5
其他建材,26,0.3076923076923077
农业综合,19,0.631578947368421
农用机械,2,0.5
农药化肥,53,0.4716981132075472
出版业,17,0.17647058823529413
化学制药,83,0.3855421686746988
化工原料,99,0.46464646464646464
化工机械,3,0.3333333333333333
化纤,19,0.42105263157894735
区域地产,42,0.23809523809523808
医疗保健,66,0.3333333333333333
医药商业,25,0.24
半导体,36,0.5277777777777778
商品城,2,0.5
商贸代理,23,0.391304347826087
啤酒,4,0.25
园区开发,12,0.4166666666666667
塑料,42,0.38095238095238093
多元金融,21,0.42857142857142855
家居用品,18,0.3888888888888889
家用电器,79,0.43037974683544306
小金属,55,0.5454545454545454
工程机械,36,0.2777777777777778
广告包装,29,0.13793103448275862
建筑工程,60,0.43333333333333335
影视音像,28,0.4642857142857143
房产服务,5,0.2
批发业,1,0.0
摩托车,9,0.6666666666666666
文教休闲,21,0.5238095238095238
新型电力,16,0.75
旅游景点,17,0.11764705882352941
旅游服务,11,0.5454545454545454
日用化工,3,0.0
普钢,25,0.24
服饰,44,0.3409090909090909
机场,5,0.2
机床制造,11,0.36363636363636365
机械基件,43,0.27906976744186046
林业,3,0.6666666666666666
染料涂料,13,0.23076923076923078
橡胶,1,0.0
水力发电,23,0.43478260869565216
水务,13,0.23076923076923078
水泥,28,0.42857142857142855
水运,14,0.14285714285714285
汽车整车,33,0.42424242424242425
汽车服务,5,0.4
汽车配件,101,0.3465346534653465
港口,13,0.38461538461538464
火力发电,27,0.5185185185185185
焦炭加工,6,0.0
煤炭开采,33,0.3939393939393939
特种钢,15,0.7333333333333333
环境保护,34,0.14705882352941177
玻璃,29,0.6206896551724138
生物制药,25,0.16
电信运营,4,0.25
电器仪表,43,0.3488372093023256
电器连锁,1,0.0
电气设备,127,0.3700787401574803
白酒,12,0.3333333333333333
百货,32,0.34375
石油加工,11,0.9090909090909091
石油开采,23,0.34782608695652173
石油贸易,4,0.0
矿物制品,11,0.6363636363636364
种植业,21,0.47619047619047616
空运,11,0.5454545454545454
红黄酒,4,0.0
纺织,17,0.23529411764705882
纺织机械,3,0.3333333333333333
综合类,26,0.5
航空,29,0.3103448275862069
船舶,7,0.2857142857142857
装修装饰,12,0.4166666666666667
证券,23,0.17391304347826086
超市连锁,9,0.5555555555555556
路桥,28,0.35714285714285715
软件服务,116,0.3879310344827586
软饮料,3,0.6666666666666666
轻工机械,4,0.0
运输设备,32,0.5625
通信设备,54,0.3148148148148148
造纸,15,0.4666666666666667
酒店餐饮,1,1.0
钢加工,12,0.16666666666666666
铁路,3,0.0
铅锌,18,0.4444444444444444
铜,15,0.4
铝,36,0.5
银行,22,0.36363636363636365
陶瓷,2,0.5
食品,45,0.5555555555555556
饲料,13,0.23076923076923078
黄金,7,0.2857142857142857
