year,total_return,max_drawdown
2016,-0.024526807320532362,-0.0680092824861267
2017,-0.14642231138195905,-0.17086966669834458
2018,-0.15492932695313255,-0.16931389888373705
2019,0.006055095044690706,-0.14713584106658573
2020,-0.05160974294759235,-0.1424258684221894
2021,-0.12402659723858267,-0.19254411707814512
2022,-0.2158548520206045,-0.26049727045548654
2023,-0.13724314040460606,-0.19403659836436626
2024,-0.16260637826784874,-0.16260637826784874
2025,-0.058171558783982835,-0.12048149110854689
2026,0.010517528817875155,0.0
