signal_date,allow_new,candidate_count,selected_count,top_names
20200102,False,0,0,
20200203,False,0,0,
20200302,False,0,0,
20200401,False,0,0,
20200506,False,0,0,
20200601,False,0,0,
20200701,False,0,0,
20200803,False,0,0,
20200901,False,0,0,
20201009,False,0,0,
20201102,True,7,7,000039.SZ;000333.SZ;000516.SZ;000550.SZ;000816.SZ;000985.SZ;002179.SZ
20201201,True,7,7,000157.SZ;000528.SZ;000619.SZ;000625.SZ;002098.SZ;002179.SZ;002272.SZ
20210104,True,12,12,000547.SZ;000708.SZ;000738.SZ;000821.SZ;002056.SZ;002158.SZ;002182.SZ;002202.SZ;002318.SZ;002335.SZ;002340.SZ;002389.SZ
20210201,True,3,3,002064.SZ;002258.SZ;000680.SZ
20210301,True,1,1,002006.SZ
20210401,True,7,7,000516.SZ;002210.SZ;000791.SZ;000600.SZ;000065.SZ;000151.SZ;000605.SZ
20210506,True,12,12,002176.SZ;002390.SZ;000718.SZ;000898.SZ;002099.SZ;002345.SZ;000059.SZ;000420.SZ;002004.SZ;000790.SZ;000731.SZ;000989.SZ
20210601,True,10,10,002256.SZ;002198.SZ;000663.SZ;002409.SZ;002121.SZ;002091.SZ;000426.SZ;002291.SZ;000158.SZ;000828.SZ
20210701,True,6,6,000893.SZ;002154.SZ;000657.SZ;000989.SZ;000707.SZ;000999.SZ
20210802,False,0,0,
20210901,False,0,0,
20211008,False,0,0,
20211101,False,0,0,
20211201,False,0,0,
20220104,False,0,0,
20220207,False,0,0,
20220301,False,0,0,
20220401,False,0,0,
20220505,False,0,0,
20220601,False,0,0,
20220701,False,0,0,
20220801,False,0,0,
20220901,False,0,0,
20221010,False,0,0,
20221101,False,0,0,
20221201,False,0,0,
