industry,closed_trades,win_rate
IT设备,31,0.41935483870967744
专用机械,58,0.46551724137931033
中成药,66,0.3484848484848485
乳制品,10,0.6
互联网,52,0.6153846153846154
仓储物流,16,0.4375
供气供热,17,0.23529411764705882
保险,5,0.0
元器件,105,0.4666666666666667
全国地产,16,0.3125
公共交通,7,0.5714285714285714
公路,2,0.5
其他商业,1,0.0
其他建材,29,0.41379310344827586
农业综合,16,0.6875
农用机械,2,0.5
农药化肥,42,0.4523809523809524
出版业,10,0.2
化学制药,74,0.4864864864864865
化工原料,92,0.4891304347826087
化工机械,4,0.5
化纤,13,0.38461538461538464
区域地产,25,0.48
医疗保健,64,0.4375
医药商业,16,0.5
半导体,26,0.5384615384615384
商品城,3,0.6666666666666666
商贸代理,11,0.45454545454545453
啤酒,8,0.5
园区开发,5,0.6
塑料,26,0.38461538461538464
多元金融,15,0.5333333333333333
家居用品,12,0.25
家用电器,64,0.28125
小金属,58,0.46551724137931033
工程机械,35,0.42857142857142855
广告包装,14,0.21428571428571427
建筑工程,36,0.3333333333333333
影视音像,15,0.4666666666666667
房产服务,5,1.0
批发业,1,0.0
摩托车,9,0.8888888888888888
文教休闲,17,0.5294117647058824
新型电力,5,0.4
旅游景点,15,0.4
旅游服务,6,0.6666666666666666
日用化工,3,0.0
普钢,37,0.4594594594594595
服饰,25,0.24
机场,5,0.2
机床制造,11,0.45454545454545453
机械基件,41,0.43902439024390244
林业,2,1.0
染料涂料,10,0.4
水力发电,25,0.72
水务,4,0.0
水泥,30,0.4
水运,14,0.5
汽车整车,38,0.631578947368421
汽车服务,4,0.25
汽车配件,81,0.38271604938271603
渔业,3,0.3333333333333333
港口,3,0.6666666666666666
火力发电,20,0.45
焦炭加工,5,0.0
煤炭开采,26,0.6153846153846154
特种钢,14,0.7857142857142857
环境保护,44,0.2727272727272727
玻璃,22,0.7272727272727273
生物制药,28,0.39285714285714285
电信运营,3,0.3333333333333333
电器仪表,30,0.4
电器连锁,2,0.0
电气设备,125,0.488
白酒,17,0.47058823529411764
百货,14,0.2857142857142857
石油加工,9,0.6666666666666666
石油开采,12,0.5833333333333334
石油贸易,1,0.0
矿物制品,4,0.25
种植业,14,0.35714285714285715
空运,10,0.4
红黄酒,5,0.2
纺织,12,0.25
纺织机械,1,0.0
综合类,11,0.18181818181818182
航空,31,0.45161290322580644
船舶,6,0.3333333333333333
装修装饰,5,0.4
证券,29,0.4482758620689655
超市连锁,16,0.75
路桥,10,0.3
软件服务,100,0.38
软饮料,1,0.0
轻工机械,8,0.375
运输设备,22,0.6818181818181818
通信设备,42,0.47619047619047616
造纸,24,0.4583333333333333
酒店餐饮,1,0.0
钢加工,11,0.2727272727272727
铅锌,15,0.13333333333333333
铜,18,0.5
铝,26,0.6923076923076923
银行,26,0.6153846153846154
陶瓷,2,0.5
食品,37,0.4864864864864865
饲料,9,0.2222222222222222
黄金,8,0.625
