ts_code,side,qty,price,exec_date,fee,status,reason
002623.SZ,BUY,400,50.099116781158,20161102,5.0,filled,rebalance
002357.SZ,BUY,1200,15.505575347137631,20161102,5.0,filled,rebalance
002393.SZ,BUY,400,46.74976188235294,20161102,5.0,filled,rebalance
300286.SZ,BUY,600,30.330121674584326,20161102,5.0,filled,rebalance
002696.SZ,BUY,800,22.723985821618996,20161102,5.0,filled,rebalance
002763.SZ,BUY,500,37.1647276,20161102,5.0,filled,rebalance
002045.SZ,BUY,1300,15.20507083333333,20161102,5.0,filled,rebalance
300204.SZ,BUY,700,27.965291892940265,20161102,5.0,filled,rebalance
300405.SZ,BUY,300,54.5545,20161102,5.0,filled,rebalance
002732.SZ,BUY,500,40.63088910358565,20161102,5.0,filled,rebalance
002738.SZ,BUY,400,44.60687537387837,20161102,5.0,filled,rebalance
300158.SZ,BUY,900,20.223975997116767,20161102,5.0,filled,rebalance
300406.SZ,BUY,300,50.330578954703824,20161102,5.0,filled,rebalance
002746.SZ,BUY,300,51.204152999999984,20161102,5.0,filled,rebalance
000530.SZ,BUY,1100,16.900914516924455,20161102,5.0,filled,rebalance
002313.SZ,BUY,700,25.675649999999997,20161102,5.0,filled,rebalance
300037.SZ,BUY,300,62.2786180753138,20161102,5.0,filled,rebalance
000915.SZ,BUY,300,52.565120202531645,20161102,5.0,filled,rebalance
300421.SZ,BUY,500,39.037007960199,20161102,5.0,filled,rebalance
300407.SZ,BUY,500,39.35679999999999,20161102,5.0,filled,rebalance
002476.SZ,BUY,1500,13.05315585648148,20161102,5.0,filled,rebalance
002524.SZ,BUY,1900,10.44043,20161102,5.0,filled,rebalance
002697.SZ,BUY,3000,6.46646,20161102,5.0,filled,rebalance
000789.SZ,BUY,2700,7.378653810408921,20161102,5.0,filled,rebalance
002731.SZ,BUY,600,30.621999999999996,20161102,5.0,filled,rebalance
002065.SZ,BUY,900,22.07631094480189,20161102,5.0,filled,rebalance
002420.SZ,BUY,2000,9.889584719764013,20161102,5.0,filled,rebalance
300305.SZ,BUY,700,27.33364254310345,20161102,5.0,filled,rebalance
000899.SZ,BUY,2000,9.956970070422534,20161102,5.0,filled,rebalance
002715.SZ,BUY,500,35.9359,20161102,5.0,filled,rebalance
300286.SZ,SELL,600,28.87944081947744,20161110,22.327664491686463,filled,exit:ma_stop
002313.SZ,SELL,700,23.766209999999997,20161125,21.636346999999997,filled,exit:ma_stop
002045.SZ,SELL,1300,13.395935892857143,20161128,22.414716660714287,filled,exit:atr_trailing
